Tenor,Bid,Ask,Last,0-3,0-3 upfront,3-7,3-7 upfront,4-6,7-10,10-15,15-100,0-100
1Y,16.08,16.58,15.33,508.84,5.142673,53.08,0.500665,47.89,21.5,6.49,5.13,21.39
2Y,23.97,24.47,23.22,600.33,10.473432,92.59,0.8326979999999999,85.48,40.88,15.83,8.5,29.11
3Y,31.484,32.584,31.034,689.74,16.788677,136.23,2.019259,127.67,64.35,28.31,12.82,37.77
5Y,52.095,52.438,51.267,790.79,28.51349,224.55,6.0601,224.55,116.83,59.7,23.16,51.73
7Y,69.664,72.73,70.197,958.87,42.688374,317.43,13.782471,309.71,181.07,101.66,38.52,77.56
10Y,91.282,91.73,90.506,"1,004.89",52.800378,382.97,22.135941,374.09,230.72,139.15,53.8,94.65
