Company,Recovery,S_1Y,S_2Y,S_3Y,S_5Y,S_7Y,S_10Y
Advanced Micro D,0.4,0.9966980238707084,0.9913339512171809,0.9835015994066078,0.9632387980575763,0.9245800363979044,0.8611930446369257
Ally Financial Inc,0.4,0.9895495830065223,0.9714468123684712,0.9473275967180069,0.876290695939982,0.7821775086273268,0.6614279931194933
Altria Group Inc,0.4,0.9973324292305751,0.9930488217623367,0.9854885042162177,0.9648789568476045,0.927392894052946,0.8734567521949826
Amazon.com Inc,0.25,0.9972362260799679,0.9930117642450362,0.987464139320197,0.9733883467645356,0.9489763096550811,0.9123639973681327
American Electri,0.4,0.9977848771328944,0.9942792563235316,0.9880322725315387,0.9719259212511758,0.9398308281707403,0.8864729184461705
American Expres,0.4,0.9976080682301985,0.9938481134071537,0.9882094356584814,0.974608812245881,0.9447743866697345,0.8995039562547835
American Interna,0.4,0.9958620066572317,0.9892323713609127,0.9784709553356663,0.9486853430287154,0.8994868234513933,0.8301351172294915
Amgen Inc,0.4,0.9977703651568621,0.9932328131811756,0.986601572716667,0.9706669165522872,0.9394625621306253,0.8816329458126952
APA Corp,0.4,0.9930931067921671,0.9816843271839104,0.9636416870571659,0.9118127372182713,0.8460109901882178,0.7511856165687273
Arrow Electronic,0.4,0.995672596528062,0.987516909287941,0.9741361358074774,0.9341465118081966,0.881429884083806,0.8035490732180522
AT&T Inc,0.4,0.9942842634912049,0.9860566892759816,0.9762607099219287,0.9475255917092541,0.9008849175828075,0.8371045913587604
AutoZone Inc,0.4,0.9973812170220104,0.9930879927847915,0.9876185828779854,0.9700465365016436,0.9386428424882054,0.8829723147739649
Avnet Inc,0.4,0.9956566376931061,0.9868094788446574,0.9715008376247192,0.9268015196379711,0.8615223171598049,0.7701927115533501
Barrick Mining C,0.4,0.9977790223692296,0.9937014340887592,0.9876126358025222,0.9678602637534458,0.9305962052097896,0.8708090959700469
