,Company,Notional Recovery Rate,Recovery rate,Running Spread,Sprd at Maturity,6 Mo,1 Yr,2 Yr,3 Yr,4 Yr,5 Yr,7 Yr,10 Yr,Unnamed: 14,Unnamed: 15
109,Netflix Inc,2000000,0.4,500,36.19,12.01,15.96,20.51,25.86,30.83,36.19,54.6,61.89, ,
110,Packaging Corp o,2000000,0.4,100,38.76,12.84,15.11,19.41,26.19,32.21,38.76,50.23,64.93, ,
111,MetLife Inc,2000000,0.4,100,68.63,24.41,28.11,38.27,49.96,59.02,68.63,93.98,112.38, ,
112,Mondelez Interna,2000000,0.4,100,47.52,15.41,20.17,28.46,33.33,39.9,47.52,66.08,79.94, ,
113,TransCanada Pip,2000000,0.4,100,57.03,16.17,20.23,26.98,36.56,46.59,57.03,81.97,104.37, ,
114,Expedia Group In,2000000,0.4,100,63.44,12,18.71,27.52,38.36,50.84,63.44,91.72,103.29, ,
115,Energy Transfer ,2000000,0.4,100,63.43,25.39,28.06,39.11,46.36,56.51,63.43,93.26,120.61, ,
116,Delta Air Lines I,2000000,0.4,500,114.07,44.32,52.57,64.69,81.56,99.55,114.07,151.74,174.37, ,
117,General Motors C,2000000,0.4,500,113.77,34.03,40.99,58.69,74.59,96.22,113.77,155.58,177.08,,
118,Kinder Morgan In,2000000,0.4,100,61.59,19.34,24.88,33.47,43.94,53.68,61.59,86.71,106.56, ,
119,HCA Inc,2000000,0.4,500,60.63,17.65,25.4,37.09,47.33,55.6,60.63,85.93,108.28, ,
120,Marathon Petrole,2000000,0.4,500,63.58,22.26,27.26,35.82,45.83,55.96,63.58,92.28,115.2, ,
121,Ovintiv Inc,2000000,0.4,100,106.73,42.7,48.54,63.14,74.46,91.74,106.73,147.39,177.29, ,
122,DXC Technology ,2000000,0.4,500,171.15,36.27,41.07,69.38,90.68,128.45,171.15,217.75,242.6, ,
123,Broadcom Inc,2000000,0.4,100,41.79,15.09,17.85,22.46,28.88,35.66,41.79,60.14,74.7, ,
124,Walt Disney Co/T,2000000,0.4,100,38.98,17.56,19.98,23.44,30,33.99,38.98,53.95,64.96, ,
125,APA Corp,2000000,0.4,100,107.81,36.4,41.97,55.34,71.41,91.38,107.81,140.03,165.49, ,
