Tenor,Bid,Ask,Last,0-3,0-3 upfront,3-7,3-7 upfront,4-6,7-10,10-15,15-100,0-100
1Y,15.2,15.7,15.45,521.92,4.325212,54.05,-0.484883,48.67,21.75,5.75,4.53,22.21
2Y,23.16,23.66,23.41,611.14,9.727968,93.9,-0.122063,86.63,41.61,15.41,8.08,30.06
3Y,31.168,32.023,31.595,700.38,16.116891,137.98,1.103429,129.27,65.59,28.25,12.61,38.92
5Y,51.398,52.098,51.748,846.72,29.180664,224.75,5.59938,216.45,118.23,60.29,22.03,55.97
7Y,68.987,72.154,70.57,965.69,42.007844,321.07,13.073011,310.79,182.65,102.27,38.77,78.98
10Y,90.664,91.097,90.88,"1,011.06",52.092906,383.83,21.300003,374.91,232.22,139.86,54.28,96.24

