Tenor,Bid,Ask,Last,0-3,0-3 upfront,3-7,3-7 upfront,4-6,7-10,10-15,15-100,0-100
1Y,14.95,15.45,15.2,505.78,4.09192,51.06,-0.507525,45.9,20.41,5.13,4.35,21.39
2Y,22.84,23.34,23.09,588.09,9.227929,89.15,-0.215291,81.88,39.09,13.92,7.92,28.92
3Y,30.488,31.403,30.921,672.66,15.33401,130.3,0.875317,121.95,61.53,25.81,12.28,37.35
5Y,50.996,51.212,51.104,808.13,28.028306,212.24,5.081741,202.44,110.5,55.2,21.76,53.91
7Y,68.587,71.359,69.973,929.3,40.494622,304.32,12.075943,294.31,171.98,95.11,37.27,75.74
10Y,90.16,90.588,90.374,974.91,50.541067,365.54,19.969425,356.79,219.81,131.07,52.24,92.56
