Tenor,Detachment,Correlation
5.0,0.005,0.1550192180553034
5.0,0.01,0.1783611190443752
5.0,0.015,0.20143325030215606
5.0,0.02,0.22406604135777006
5.0,0.025,0.24608992174034142
5.0,0.03,0.2673353209789942
5.0,0.035,0.28763266860285264
5.0,0.04,0.30681239414104083
5.0,0.045,0.3247049271226828
5.0,0.05,0.3411406970769029
5.0,0.055,0.3559501335328251
5.0,0.06,0.3689636660195737
5.0,0.065,0.3800117240662727
5.0,0.07,0.3889247372020463
5.0,0.075,0.3958332544754348
5.0,0.08,0.4013663029259273
5.0,0.085,0.40610202906907045
5.0,0.09,0.4106185794204114
5.0,0.095,0.4154941004954972
5.0,0.1,0.4213067388098745
5.0,0.105,0.42798727884563914
5.0,0.11,0.4350780300855853
5.0,0.115,0.4425744265463077
5.0,0.12,0.450471902244401
5.0,0.125,0.45876589119646
5.0,0.13,0.4674518274190794
5.0,0.135,0.4765251449288541
5.0,0.14,0.48598127774237876
5.0,0.145,0.495815659876248
5.0,0.15,0.5060237253470566
7.0,0.005,0.15015761071338177
7.0,0.01,0.1781401479547978
7.0,0.015,0.20536418398565306
7.0,0.02,0.23178364118778158
7.0,0.025,0.25735244194301743
7.0,0.03,0.2820245086331946
7.0,0.035,0.3057537636401472
7.0,0.04,0.3284941293457094
7.0,0.045,0.350199528131715
7.0,0.05,0.37082388237999825
7.0,0.055,0.39032111447239304
7.0,0.06,0.4086451467907336
7.0,0.065,0.4257499017168539
7.0,0.07,0.441589301632588
7.0,0.075,0.4562705538807391
7.0,0.08,0.4699789314611245
7.0,0.085,0.48278545524109956
7.0,0.09,0.4947611460880195
7.0,0.095,0.5059770248692395
7.0,0.1,0.5165041124521148
7.0,0.105,0.5265964370899628
7.0,0.11,0.536430863148445
7.0,0.115,0.5459626656634328
7.0,0.12,0.5551471196707969
7.0,0.125,0.5639395002064089
7.0,0.13,0.57229508230614
7.0,0.135,0.5801691410058613
7.0,0.14,0.5875169513414442
7.0,0.145,0.5942937883487596
7.0,0.15,0.6004549270636791
10.0,0.005,0.07029221728392598
10.0,0.01,0.11442497314725711
10.0,0.015,0.15775214570337232
10.0,0.02,0.20003429227111297
10.0,0.025,0.24103197016932024
10.0,0.03,0.2805057367168355
10.0,0.035,0.31821614923249997
10.0,0.04,0.353923765035155
10.0,0.045,0.3873891414436417
10.0,0.05,0.4183728357768015
10.0,0.055,0.44663540535347557
10.0,0.06,0.47193740749250535
10.0,0.065,0.494039399512732
10.0,0.07,0.5127019387329969
10.0,0.075,0.5283768446973257
10.0,0.08,0.5420058330697549
10.0,0.085,0.5540843053491411
10.0,0.09,0.5651076630343408
10.0,0.095,0.575571307624211
10.0,0.1,0.5859706406176083
10.0,0.105,0.5964004821080847
10.0,0.11,0.6066054906530045
10.0,0.115,0.6165558254469425
10.0,0.12,0.6262216456844732
10.0,0.125,0.6355731105601716
10.0,0.13,0.6445803792686121
10.0,0.135,0.6532136110043693
10.0,0.14,0.6614429649620179
10.0,0.145,0.6692386003361328
10.0,0.15,0.6765706763212885
