Company,Recovery,S_1Y,S_2Y,S_3Y,S_5Y,S_7Y,S_10Y
Advanced Micro D,0.4,0.9975714907474148,0.9931906134120352,0.9866600156785706,0.9670091232186002,0.93804346705322,0.881840825301792
Ally Financial Inc,0.4,0.9923261585245804,0.9762164411702928,0.9548458493214909,0.8879036816335759,0.8089283026139894,0.6888603658315787
Altria Group Inc,0.4,0.9981512700002135,0.9947228427942613,0.9885262909643273,0.9681802078036382,0.9344299628816815,0.8786729762426497
Amazon.com Inc,0.25,0.9979473037584566,0.9943323211526578,0.9895764214591385,0.9752566183939819,0.9537293017392855,0.9150438133478468
American Electri,0.4,0.9984822538425324,0.9953752686287395,0.990233859558722,0.9743764328271978,0.9485910391063043,0.8986045329025821
American Expres,0.4,0.9983432198892793,0.9953190705945073,0.9908038093742695,0.9771720574955047,0.947800944826184,0.8980135522017232
American Interna,0.4,0.9968724397584545,0.9912782374410024,0.9823906336015338,0.954132524484994,0.9083635765311291,0.8351467053125835
Amgen Inc,0.4,0.9984453799577191,0.9946964369245013,0.9888538001970736,0.9733549557273414,0.9439532881062568,0.8859574562690048
APA Corp,0.4,0.995134237341729,0.9858118165258554,0.9708189064372591,0.9201967039916578,0.8631218102867556,0.7656227450058697
Arrow Electronic,0.4,0.9968451424136338,0.9902322750579499,0.9789793618535201,0.9397563094820576,0.8922700859804179,0.811564721002467
AT&T Inc,0.4,0.9959196428801266,0.9892143663469493,0.9807759193748756,0.9525240724029328,0.9136929214068756,0.8496430496540479
AutoZone Inc,0.4,0.9980476442651377,0.9947398762603075,0.9894439896230791,0.9725823605682775,0.9473942725174324,0.8948874696213597
Avnet Inc,0.4,0.9970597222232497,0.98955415768351,0.9768616511304916,0.9329636204023346,0.8753681198088324,0.7815023116280005
Barrick Mining C,0.4,0.9984906898752569,0.9951980961036315,0.9901185235931002,0.9720451244347208,0.9375112806775048,0.8718635460877094
Baxter Internatio,0.4,0.9967681095141906,0.9898027448187112,0.9793461096146122,0.935139296817007,0.8869645717428642,0.8112525739063531
Best Buy Co Inc,0.4,0.9971582644802235,0.9910616855305953,0.9830091609980847,0.9511167418513725,0.9084361815726866,0.8230440427207402
Block Financial L,0.4,0.9962549322994639,0.9893951760124431,0.9789354261368158,0.9466648251647148,0.893617719411573,0.8044633223137685
BorgWarner Inc,0.4,0.9973718315986477,0.9922177400104302,0.9849831890266486,0.9585113947393237,0.9189598074801318,0.849704524925644
Boston Scientific,0.4,0.9982963939496704,0.9954754914088678,0.9915520280751433,0.9749903879472283,0.9477137642380393,0.9006292307163076
Bristol-Myers Sq,0.4,0.9982123796787314,0.995064750304589,0.9901971438958851,0.971948367468074,0.9446999855401065,0.8926432880692649
Broadcom Inc,0.4,0.9981028345939249,0.9945484398422161,0.9890662917614607,0.9705836267332034,0.9388159631947572,0.8871706355743676
Canadian Natura,0.4,0.9968763970525776,0.9907590797250919,0.9810952105711919,0.9497163549820462,0.8996158303889976,0.8074141445527211
Capital One Finan,0.4,0.9955225594516223,0.9870351294197158,0.9765046693561159,0.9421581951269723,0.8975172307857489,0.8144432710137501
Cardinal Health I,0.4,0.9982466832952259,0.9947385507072871,0.9894110681434799,0.9726403334705842,0.9396867191359882,0.881744199534396
Caterpillar Inc,0.4,0.9984925215233065,0.9960139020296194,0.991622022792762,0.979485531769153,0.952853217830943,0.9041715284857488
Cisco Systems In,0.4,0.9985006743138161,0.9954212710169001,0.9902627706375728,0.9746400329672649,0.9524934117404331,0.9103198757293379
Comcast Corp,0.4,0.9969711637844728,0.9918633665365808,0.9833239671350321,0.9567959449586374,0.9212622536550474,0.8486063744705156
Conagra Brands ,0.4,0.9967730182167749,0.9905833817967827,0.9790979420902872,0.9378828534401381,0.8839832911618257,0.7973437884343624
ConocoPhillips,0.4,0.998260973714563,0.9948906768509136,0.988764172730434,0.9677323831198211,0.9329237693443153,0.8775575713363204
Cox Communicat,0.4,0.9975005530528008,0.9926473638513985,0.9836791471499864,0.9528432529655733,0.9173835446736602,0.8458119279338361
CSX Corp,0.4,0.9987033201269251,0.9965736709806792,0.9934612184384398,0.9827241821309503,0.9626576143928921,0.921940168738354
CVS Health Corp,0.4,0.9977812394627238,0.9928948590792908,0.9851087604903844,0.960618504755731,0.9170206999903547,0.8430187777105591
