Tenor,Detachment,Correlation
5.0,0.005,0.15518889781994627
5.0,0.01,0.17610722715655944
5.0,0.015,0.19675641987581557
5.0,0.02,0.2169916969376462
5.0,0.025,0.2366682793019827
5.0,0.03,0.2556413879287565
5.0,0.035,0.2737662437778991
5.0,0.04,0.2908980678093419
5.0,0.045,0.30689208098301635
5.0,0.05,0.3216035042588539
5.0,0.055,0.334887558596786
5.0,0.06,0.34659946495674404
5.0,0.065,0.35659444429865944
5.0,0.07,0.3647277175824637
5.0,0.075,0.37113631903667654
5.0,0.08,0.3763624254272456
5.0,0.085,0.3808689715202444
5.0,0.09,0.3851188920817464
5.0,0.095,0.38957512187782495
5.0,0.1,0.3947005956745535
5.0,0.105,0.40040900416754716
5.0,0.11,0.4063064414369123
5.0,0.115,0.41239444732545927
5.0,0.12,0.41867456167599837
5.0,0.125,0.42514832433134
5.0,0.13,0.43181727513429446
5.0,0.135,0.4386829539276723
5.0,0.14,0.4457469005542836
5.0,0.145,0.4530106548569389
5.0,0.15,0.4604757566784486
7.0,0.005,0.14521797503752096
7.0,0.01,0.17172567309969472
7.0,0.015,0.19751509397800351
7.0,0.02,0.2225419158838303
7.0,0.025,0.2467618170285579
7.0,0.03,0.2701304756235693
7.0,0.035,0.2926035698802474
7.0,0.04,0.3141367780099751
7.0,0.045,0.3346857782241352
7.0,0.05,0.35420624873411083
7.0,0.055,0.37265386775128473
7.0,0.06,0.38998431348703994
7.0,0.065,0.4061532641527592
7.0,0.07,0.4211163979598256
7.0,0.075,0.4350912102525482
7.0,0.08,0.4482787886815388
7.0,0.085,0.4606101999176335
7.0,0.09,0.47201651063166844
7.0,0.095,0.48242878749448004
7.0,0.1,0.4917780971769045
7.0,0.105,0.5004697517279665
7.0,0.11,0.5089108516660088
7.0,0.115,0.5170351463658451
7.0,0.12,0.524776385202289
7.0,0.125,0.5320683175501537
7.0,0.13,0.538844692784253
7.0,0.135,0.5450392602794002
7.0,0.14,0.5505857694104089
7.0,0.145,0.5554179695520927
7.0,0.15,0.5594696100792651
10.0,0.005,0.06588613228050369
10.0,0.01,0.10902352207122462
10.0,0.015,0.15143229050956442
10.0,0.02,0.19286140039741054
10.0,0.025,0.23305981453665012
10.0,0.03,0.2717764957291705
10.0,0.035,0.30876040677685906
10.0,0.04,0.3437605104816029
10.0,0.045,0.37652576964528944
10.0,0.05,0.40680514706980603
10.0,0.055,0.4343476055570398
10.0,0.06,0.45890210790887803
10.0,0.065,0.48021761692720816
10.0,0.07,0.4980430954139175
10.0,0.075,0.5128237547472547
10.0,0.08,0.5255412139072705
10.0,0.085,0.5367490470985545
10.0,0.09,0.5470008285256965
10.0,0.095,0.5568501323932865
10.0,0.1,0.5668505329059141
10.0,0.105,0.5770270595449454
10.0,0.11,0.5870225380959863
10.0,0.115,0.5968172372199867
10.0,0.12,0.6063914255778966
10.0,0.125,0.6157253718306661
10.0,0.13,0.6247993446392449
10.0,0.135,0.6335936126645831
10.0,0.14,0.6420884445676307
10.0,0.145,0.6502641090093374
10.0,0.15,0.6581008746506533
