Tenor,Detachment,Correlation
5.0,0.005,0.145649923867745
5.0,0.01,0.1675760337862575
5.0,0.015,0.18923634552381613
5.0,0.02,0.21047480986177255
5.0,0.025,0.23113537758147853
5.0,0.03,0.2510619994642857
5.0,0.035,0.27009862629154574
5.0,0.04,0.2880892088446103
5.0,0.045,0.30487769790483105
5.0,0.05,0.32030804425355974
5.0,0.055,0.334224198672148
5.0,0.06,0.3464701119419475
5.0,0.065,0.35688973484430986
5.0,0.07,0.3653270181605869
5.0,0.075,0.3719367870785329
5.0,0.08,0.37730484830200395
5.0,0.085,0.38192162488650416
5.0,0.09,0.38627753988753766
5.0,0.095,0.3908630163606085
5.0,0.1,0.3961684773612208
5.0,0.105,0.4021053334706455
5.0,0.11,0.40825881504231326
5.0,0.115,0.41463007478996833
5.0,0.12,0.42122026542735463
5.0,0.125,0.42803053966821625
5.0,0.13,0.4350620502262972
5.0,0.135,0.4423159498153415
5.0,0.14,0.4497933911490933
5.0,0.145,0.4574955269412963
5.0,0.15,0.4654235099056949
7.0,0.005,0.13561816340361285
7.0,0.01,0.16310971555685022
7.0,0.015,0.18985823353085737
7.0,0.02,0.21581412812686607
7.0,0.025,0.24092781014610798
7.0,0.03,0.2651496903898149
7.0,0.035,0.2884301796592186
7.0,0.04,0.31071968875555067
7.0,0.045,0.33196862848004294
7.0,0.05,0.3521274096339272
7.0,0.055,0.3711464430184351
7.0,0.06,0.38897613943479836
7.0,0.065,0.4055669096842488
7.0,0.07,0.4208691645680181
7.0,0.075,0.4350831782379023
7.0,0.08,0.4484253226754368
7.0,0.085,0.46087015542646204
7.0,0.09,0.4723922340368184
7.0,0.095,0.48296611605234663
7.0,0.1,0.4925663590188872
7.0,0.105,0.5015639299686929
7.0,0.11,0.5103056293506963
7.0,0.115,0.5187297648357561
7.0,0.12,0.5267746440947315
7.0,0.125,0.5343785747984816
7.0,0.13,0.5414798646178656
7.0,0.135,0.5480168212237425
7.0,0.14,0.5539277522869714
7.0,0.145,0.5591509654784114
7.0,0.15,0.5636247684689217
10.0,0.005,0.05451573945957724
10.0,0.01,0.09867839922479198
10.0,0.015,0.14207274757643512
10.0,0.02,0.184448180483004
10.0,0.025,0.2255540939129958
10.0,0.03,0.2651398838349078
10.0,0.035,0.3029549462172373
10.0,0.04,0.33874867702848144
10.0,0.045,0.37227047223713755
10.0,0.05,0.403269727811703
10.0,0.055,0.43149583972067485
10.0,0.06,0.4566982039325505
10.0,0.065,0.47862621641582714
10.0,0.07,0.4970292731390021
10.0,0.075,0.5123766171579729
10.0,0.08,0.5256531336403736
10.0,0.085,0.5373816817223052
10.0,0.09,0.5480851205398691
10.0,0.095,0.5582863092291666
10.0,0.1,0.568508106926299
10.0,0.105,0.578818257776168
10.0,0.11,0.5889185626241151
10.0,0.115,0.5987829656569016
10.0,0.12,0.608385411061289
10.0,0.125,0.6176998430240387
10.0,0.13,0.626700205731912
10.0,0.135,0.6353604433716703
10.0,0.14,0.643654500130075
10.0,0.145,0.6515563201938874
10.0,0.15,0.6590398477498691
