Tenor,Bid,Ask,Last,0-3,0-3 upfront,3-7,3-7 upfront,7-10,10-15,15-100,0-100
1Y,16.08,16.58,16.33,543.01,4.599248,55.48,-0.476659,22.37,6.68,4.11,22.56
2Y,24.41,24.91,24.6,639.31,10.302443,97.78,-0.044805,43.28,16.94,7.53,30.64
3Y,33.177,34.968,34.068,732.36,16.957286,144.16,1.286625,68.42,30.46,11.92,39.57
5Y,54.63,55.038,54.825,880.98,30.623924,237.64,6.239211,124.51,64.2,22.4,57.79
7Y,72.29,75.95,73.423,1084.5,46.070654,405.68,17.651617,224.32,139.2,42.82,90.62
10Y,93.33,93.85,93.55,1057.09,53.586582,403.49,22.535579,244.35,148.52,53.28,97.42
