Company,Recovery,S_1Y,S_2Y,S_3Y,S_5Y,S_7Y,S_10Y
Advanced Micro D,0.4,0.9975251234240914,0.993119242175584,0.9864056338870876,0.9657028498262917,0.9331935881238219,0.8835837145012395
Honeywell Intern,0.4,0.9985760567516133,0.9957905106680406,0.9915539294138752,0.9786800415454641,0.955856906344235,0.9129791359938517
Barrick Mining C,0.4,0.998425112472477,0.9951550995459921,0.9896610990081973,0.9700735979251252,0.9349209464510482,0.8710744567522816
American Electri,0.4,0.99851485379413,0.9953615436206307,0.9903686697233695,0.974459648347668,0.9479865961090663,0.8977068291010476
American Expres,0.4,0.9981307876328911,0.9946784507389519,0.9892443990447947,0.9761001824071858,0.9489425939905242,0.9027483764799444
American Interna,0.4,0.997064484315256,0.9910684243117288,0.9817045826180354,0.9531947308846865,0.9082720259735774,0.8378885952337729
Arrow Electronic,0.4,0.9967792232803405,0.9896898949411539,0.9770527003227042,0.9360005672270351,0.8880273489077551,0.8069401903406637
AutoZone Inc,0.4,0.9977428326567359,0.993677981061344,0.9886442330384703,0.9705988348697017,0.9444412827288177,0.8912946567532382
Avnet Inc,0.4,0.9970516567789248,0.9889360053071209,0.9747822033782817,0.9283483284762232,0.8707005159192609,0.7762749042762556
Baxter Internatio,0.4,0.996840850883193,0.9894238158951943,0.9791133221385906,0.9346677137379343,0.8855005884766349,0.810170371461372
Verizon Commun,0.4,0.9962520660860117,0.990191866520445,0.9806316517122828,0.9541704762109221,0.9136592673180687,0.8429013052394315
Best Buy Co Inc,0.4,0.9970155854355777,0.9904187498597256,0.9821486195268401,0.9464218965156411,0.9003119754374712,0.8133794969511623
Boeing Co/The,0.4,0.9959719114398519,0.9889001150894977,0.9784376395460187,0.9457745521013208,0.9082638044644885,0.8435573023073525
Boston Scientific,0.4,0.9982535804962126,0.9953459034960397,0.9911222598870505,0.9739373831675364,0.9469777729563981,0.9011141424574923
Bristol-Myers Sq,0.4,0.9980567285342286,0.9945296588237652,0.9893340678343462,0.97112696565467,0.9443055144355785,0.8937779201722602
Campbell's Comp,0.4,0.9973851140817451,0.9926431927372441,0.9841707670455766,0.9546947168067373,0.9097061630467655,0.8372245054752195
Caterpillar Inc,0.4,0.9984545947078434,0.9958315653517731,0.9909388209118685,0.9780427195269736,0.9532436193700348,0.9061724237427898
Conagra Brands ,0.4,0.9967188928809534,0.9904477705594054,0.9788132404915039,0.936369363728267,0.8839040407840606,0.800490946164826
CSX Corp,0.4,0.998549110045164,0.9961975995327532,0.9923175003242948,0.9817361549437378,0.9616261343878126,0.9233055832148054
Danaher Corp,0.4,0.998656831322132,0.9962371740758328,0.9915199854966522,0.9770595909215437,0.9482017430969399,0.8974692224407805
Target Corp,0.4,0.9976905911210291,0.9919088972170773,0.9838350468162843,0.9589757318458818,0.9290777822033637,0.8747094118687185
Deere & Co,0.4,0.9983719634542285,0.9950553050670856,0.990040653884588,0.9736038168953081,0.9454915345993062,0.8885146472283869
Dominion Energy,0.4,0.9982201594197082,0.9939012235334328,0.988067944902208,0.9685484126506116,0.9367679735837079,0.8853496913756238
Dow Chemical Co,0.4,0.9964563870493526,0.9882684703595851,0.9738286298037858,0.9232171126099387,0.8618025247564858,0.7663209067985944
FedEx Corp,0.4,0.9971749008791675,0.992016818800977,0.9828572096730736,0.9566879091992153,0.9154427367311784,0.8456081838182063
Ford Motor Co,0.4,0.9903337546460191,0.9726006022217382,0.9479678291377424,0.8733868321953775,0.7929383482496922,0.6766021361908716
Freeport-McMoRa,0.4,0.9975639407808321,0.9911029224646738,0.9788361897252064,0.9394857879049078,0.8888297319810212,0.8050392172635787
General Electric ,0.4,0.998565448339145,0.9961261594825638,0.9921885336888702,0.9755946167110287,0.9425843092260288,0.8833543908726726
General Mills Inc,0.4,0.99765926309473,0.9933869461570942,0.9853843073346453,0.9601996315584964,0.9278672848862922,0.8673264419446072
Halliburton Co,0.4,0.9970753709907713,0.9911411510509979,0.9827743744742236,0.9520300740482808,0.9088186296199509,0.8360400862064822
Kraft Heinz Food,0.4,0.997745244730344,0.992331256906683,0.9843577320888788,0.9577266172741146,0.910769831301164,0.8364742053266786
HP Inc,0.4,0.9973617883260898,0.9907661089601237,0.9785626774975169,0.9405301727269985,0.8939770577551495,0.8016277824946583
Home Depot Inc/,0.4,0.9982357137853922,0.9947045317025968,0.9900626224879061,0.9750503498455916,0.952478786625743,0.9059207159388404
International Bu,0.4,0.998021492122379,0.9939728540646666,0.9865655682022952,0.9629012917138157,0.9325355397255501,0.878859594365955
International Pa,0.4,0.9974711379167112,0.9915209063319633,0.9817361621801826,0.9457456632898291,0.9017721341710875,0.8411413893320773
Johnson & Johns,0.4,0.9982548012068225,0.9958382469713637,0.9925875589090715,0.9814012594170571,0.9633031813020769,0.9200511296647185
Kroger Co/The,0.4,0.998253399124966,0.9947628249802389,0.9890457276521385,0.9688674618784494,0.9368141233297532,0.8829482617677511
Lennar Corp,0.4,0.9953793883309922,0.9865461382827758,0.9728903160443524,0.934752368465445,0.8714829238282079,0.7940542386014126
Lincoln National ,0.4,0.9937893353296299,0.9820098315100877,0.96426143378353,0.9069473200375867,0.8385479401926926,0.7346522677287676
Lowe's Cos Inc,0.4,0.998182581959627,0.9945566123609391,0.9881630801222424,0.9698866165684318,0.9412450455157705,0.8842621524687808
McDonald's Corp,0.4,0.9983117943978584,0.9950771012804411,0.9907404970665574,0.9774545904693736,0.9561208920359207,0.9134206803020756
Sekisui House US,0.4,0.996461343398462,0.9901434119085177,0.9785690194171768,0.9481344589036124,0.9004601352572023,0.8050644578221042
CVS Health Corp,0.4,0.997650185813984,0.9924675064194172,0.9844156745915713,0.958807553795647,0.9174119653088018,0.8464441712954449
Motorola Solution,0.4,0.9980022198959883,0.9943814465934235,0.9874485996756133,0.9664469466534974,0.9360665261119298,0.8740350493248156
Newmont Corp,0.4,0.9982131330195313,0.9946082982945746,0.9894599788265738,0.9689801710059982,0.9342775884650072,0.865254261031365
Norfolk Southern,0.4,0.998741602024085,0.9961427169708942,0.9924277140397938,0.9808946065927948,0.9620054953956566,0.9219906923696847
Northrop Grumm,0.4,0.998702971089248,0.9958926773511113,0.9918318878112757,0.9788581793247938,0.958154097134448,0.9183064728000595
Occidental Petro,0.4,0.9943450627029136,0.9838366965009749,0.9688059452802644,0.9279344878440382,0.873759707409176,0.7838207641629716
Omnicom Group ,0.4,0.9977670501751648,0.9932893010589884,0.9852325498699346,0.9598014608556383,0.927043070424238,0.86500966037497
Pfizer Inc,0.4,0.9982717731852631,0.9948517519289622,0.9891437993504578,0.9719480940285383,0.9395298210450335,0.8720591805274589
Exelon Corp,0.4,0.9985196650900796,0.9953707935418137,0.9900348511137675,0.9737263688621348,0.9487530283065428,0.899060401171236
Altria Group Inc,0.4,0.9981608065667527,0.9946285272817252,0.9885476688393422,0.9666537682550194,0.933167328203785,0.8785982481780448
ConocoPhillips,0.4,0.9983526736584178,0.9948683309743369,0.9884129136440329,0.9674404343800412,0.9290010883425348,0.8639461522241526
PulteGroup Inc,0.4,0.9961935922530962,0.9882655486256037,0.9759702804888355,0.9408714768277964,0.8868918198542001,0.79856639462416
PNC Financial Se,0.4,0.9964436720364863,0.9902393317246396,0.9817421560869246,0.9572329729009622,0.923020802107319,0.866388161952537
Procter & Gambl,0.4,0.998156168926278,0.9952386500841532,0.9911769323008669,0.9796483658403436,0.9619608629632146,0.9256451786906567
Ryder System In,0.4,0.9978383408300278,0.9921864724800512,0.9822554821618059,0.9491595149322197,0.9034186757910956,0.8200778329230878
Sherwin-Williams,0.4,0.9976332855226151,0.9932859939662421,0.9861729669147072,0.9611555676643456,0.9226922715946588,0.8597885021859133
Southern Co/The,0.4,0.9980916283710877,0.9934674036528507,0.9870124926431975,0.9698923867941515,0.9366323196243556,0.8785968016166671
