,Company,Notional Recovery Rate,Recovery rate,Running Spread,Sprd at Maturity,6 Mo,1 Yr,2 Yr,3 Yr,4 Yr,5 Yr,7 Yr,10 Yr,,,,
52,General Mills Inc,2000000,0.4,100,49.46,14.73,18.83,23.93,32.71,39.96,49.46,67.76,85.61,,,,
53,General Motors C,2000000,0.4,500,107.37,36.2,39.45,55.56,71.43,92.05,107.37,150.92,170.57,,,,
54,Halliburton Co,2000000,0.4,100,62.78,22.11,22.88,30.93,38.93,52.55,62.78,90.94,112.57,,,,
55,HCA Inc,2000000,0.4,500,58.94,16.37,22.24,34.42,44.53,51.53,58.94,85.22,106.85,,,,
56,Honeywell Intern,2000000,0.4,100,25.87,8.72,12.55,14.64,17.91,21.35,25.87,40.29,53.03,,,,
57,Host Hotels & Re,2000000,0.4,100,83.21,28.11,33.02,44.85,56.63,70.66,83.21,120.78,146.24,,,,
58,HP Inc,2000000,0.4,100,77.59,19.65,22.9,34.32,51.13,65.84,77.59,103.31,132.06,,,,
59,Intel Corp,2000000,0.4,100,73.41,23.76,31.01,39.07,47.4,61.8,73.41,94.5,111.09,,,,
60,International Bu,2000000,0.4,100,46.19,12.03,17.52,22.91,31.58,39.62,46.19,64.12,78.38,,,,
61,International Pa,2000000,0.4,100,69.62,18.82,22.57,32.48,44.53,55.25,69.62,93.02,103.61,,,,
62,Johnson & Johns,2000000,0.4,100,24.97,11.78,13.95,15.83,18.01,20.66,24.97,41.89,60.63,,,,
63,Johnson Controls,2000000,0.4,100,39.02,11.98,14.76,19.57,24.96,31.57,39.02,56.31,69.75,,,,
64,Kinder Morgan In,2000000,0.4,100,60.92,17.63,22.66,31.89,41.75,51.65,60.92,86.1,106.05,,,,
65,Kraft Heinz Food,2000000,0.4,100,54.87,14.33,19.25,29.19,38.39,45.42,54.87,88.72,116.21,,,,
66,Lennar Corp,2000000,0.4,500,83.42,31.44,34.54,46.56,59.87,73.12,83.42,119.92,144.03,,,,
67,Lincoln National ,2000000,0.4,100,124,43.61,51.95,68.29,86.4,106.94,124,157.58,180.01,,,,
68,Lockheed Martin ,2000000,0.4,100,27.11,9.79,11.32,14.32,19.3,22.35,27.11,40.15,52.55,,,,
69,Lowe's Cos Inc,2000000,0.4,100,39.89,11.23,15.6,21.18,28.47,33.94,39.89,57.33,75.93,,,,
70,Sekisui House US,2000000,0.4,100,67.9,24.78,32.18,40.5,52.17,61.37,67.9,101.25,137.01,,,,
71,Marathon Petrole,2000000,0.4,500,63.44,22.12,26.94,34.27,44.37,55.52,63.44,95.5,120.45,,,,
72,McDonald's Corp,2000000,0.4,100,27.86,11.58,12.77,16.53,19.84,23.85,27.86,39.46,51.91,,,,
73,McKesson Corp,2000000,0.4,100,36.63,13.47,15.23,19.01,25.17,29.58,36.63,58.78,77.71,,,,
74,MetLife Inc,2000000,0.4,100,68.73,23.59,26.62,37.39,48.58,57.73,68.73,95.08,113.56,,,,
75,Mondelez Interna,2000000,0.4,100,46.96,16.4,20.08,28.74,33.17,40.29,46.96,65.8,79.86,,,,
76,Motorola Solution,2000000,0.4,100,42.63,11.37,16.89,21.85,29.72,36.83,42.63,60.13,79.23,,,,
77,National Rural U,2000000,0.4,100,23.72,8.19,10.03,12.22,17.39,20.41,23.72,43.44,56.26,,,,
78,Netflix Inc,2000000,0.4,500,36.36,12.84,16.25,20.8,25.55,30.83,36.36,55.67,63.24,,,,
79,Newmont Corp,2000000,0.4,100,39.23,9.33,15.12,20.5,25.65,33.22,39.23,59.86,81.84,,,,
80,NextEra Energy C,2000000,0.4,100,62.92,14.61,25.31,33.68,43.77,53.28,62.92,95.57,116.62,,,,
81,Norfolk Southern,2000000,0.4,100,24.85,9.2,11.83,14.64,18.4,21.03,24.85,37.92,53.74, ,,,
82,Northrop Grumm,2000000,0.4,100,28.1,8.47,12.25,16.24,20.38,24.16,28.1,42.09,54.41, ,,,
83,Occidental Petro,2000000,0.4,100,97.06,45.34,50.7,64.31,78.39,86.45,97.06,126.19,149.07, ,,,
84,Omnicom Group ,2000000,0.4,100,52.58,14.83,19.47,25.69,35.84,42.26,52.58,68.21,85.84, ,,,
85,Oracle Corp,2000000,0.4,100,121.06,44.33,56.63,69.33,86.14,104.75,121.06,149.95,177.01, ,,,
86,Ovintiv Inc,2000000,0.4,100,106.91,42.2,47.86,62.3,74.57,92.8,106.91,147.41,177.24, ,,,
87,Packaging Corp o,2000000,0.4,100,38.62,11.63,13.68,18.77,26.29,32.29,38.62,52.62,69.42, ,,,
88,Paramount Globa,2000000,0.4,100,139.82,36.55,28.92,49.26,78.06,112.72,139.82,184.3,206.08, ,,,
89,Pfizer Inc,2000000,0.4,100,36.39,10.97,13.82,18.6,25,29.65,36.39,57.06,81.14, ,,,
90,Prudential Finan,2000000,0.4,100,68.53,21.28,28,37.86,47.77,57.71,68.53,93.51,112.73, ,,,
91,PulteGroup Inc,2000000,0.4,500,76.64,29.74,28.71,41.64,54.23,66.25,76.64,113.74,141.28, ,,,
92,Quest Diagnostic,2000000,0.4,100,33.78,10.71,14.36,17.35,23.11,28.65,33.78,49.91,65.5, ,,,
93,Radian Group Inc,2000000,0.4,500,101.3,24.72,37.2,54.92,71.21,84.33,101.3,131.87,155.3, ,,,
94,Royal Caribbean ,2000000,0.4,500,84.94,25.33,33.38,51.58,62.15,70.24,84.94,124.1,146.31, ,,,
95,RTX Corp,2000000,0.4,100,38.91,11.23,15.17,22.19,28.74,33.63,38.91,55.88,71.51, , , , 
96,Ryder System In,2000000,0.4,100,67.44,17.62,20.91,31.42,42.5,56.33,67.44,95.68,122.13, ,,,
97,Sempra,2000000,0.4,100,36,8,13.3,20,23.22,28.78,36,55.04,71.83, , ,,
98,Southwest Airline,2000000,0.4,100,115.5,34.58,42.42,65.66,81.24,97.99,115.5,152.97,175.19, , ,,
99,T-Mobile USA Inc,2000000,0.4,500,51.95,20.48,22.71,27.3,35.73,44.83,51.95,71.22,90.68, , ,,
100,Target Corp,2000000,0.4,100,50.74,13.5,19.41,28.36,35.8,42.42,50.74,67.79,81.27, , ,,
101,Teck Resources ,2000000,0.4,500,50.64,15.62,18.43,26.6,34.53,42.81,50.64,83.23,107.06, , ,,
102,AES Corp/The,2000000,0.4,500,113.13,21.6,38.89,58.35,77.24,95.68,113.13,154.91,175.28, , ,,
103,Allstate Corp/Th,2000000,0.4,100,31.22,11.16,13.29,17.28,22.03,26.89,31.22,43.97,54.64, , ,,
104,Boeing Co/The,2000000,0.4,100,72.7,30.98,36.13,42.19,53.47,61.4,72.7,93.72,111.09, , ,,
105,Campbell's Comp,2000000,0.4,100,57.39,15.33,21.15,27.35,37,46.42,57.39,82.5,101.31, , ,,
106,Dow Chemical Co,2000000,0.4,100,100.92,22.15,29.24,43.46,61.75,81.28,100.92,132.82,155.3, , , , 
107,Home Depot Inc/,2000000,0.4,100,31.03,12.88,14.44,18.86,21.69,24.94,31.03,46.71,63.8, , ,,
108,Kroger Co/The,2000000,0.4,100,41.85,12.96,16.11,21.52,27.31,34.35,41.85,62.47,78.13, , , ,
109,PNC Financial Se,2000000,0.4,100,57.06,30.33,32.21,39.41,45.69,51.13,57.06,74.8,87.83, , , ,
110,Procter & Gambl,2000000,0.4,100,26.43,12.73,15.7,18.82,20.97,23.38,26.43,37.28,49.01, , , ,
111,Sherwin-Williams,2000000,0.4,100,50.39,16.66,20.34,26.23,33.23,42.11,50.39,74.97,93.11, , , ,
112,Southern Co/The,2000000,0.4,100,41.35,12.31,17.35,26.92,32.81,37.38,41.35,60.39,76.79, , , ,
113,Walt Disney Co/T,2000000,0.4,100,37.86,16.69,19.26,22.63,29.26,33.48,37.86,51.56,63.09, , , ,
114,Williams Cos Inc,2000000,0.4,100,54.78,16.13,18.16,25.41,35.23,45.5,54.78,86.17,109.09, , , ,
115,Toll Brothers Inc,2000000,0.4,100,85.09,27,33.27,45.52,55.4,73.23,85.09,123.82,155.96, , , ,
116,TransCanada Pip,2000000,0.4,100,55.15,11.8,17.43,24.37,34.27,44.47,55.15,80.64,103.8,, , ,
117,Tyson Foods Inc,2000000,0.4,100,49.28,16.21,19.45,25.55,35.14,41.73,49.28,68.9,87.53, , , ,
118,Union Pacific Cor,2000000,0.4,100,27,9.21,11.86,14.86,19.25,23.23,27,39.12,52.35, ,, ,
119,United Parcel Se,2000000,0.4,100,34.74,10.72,14.43,19.14,24.17,28.51,34.74,51.01,64.83, ,, ,
120,UnitedHealth Gro,2000000,0.4,100,45.13,17.01,20.31,25.87,32.71,38.34,45.13,66.33,83.32, ,, ,
121,Valero Energy Co,2000000,0.4,100,53.11,16.57,16.67,23.07,32.9,46.12,53.11,84.11,106.45, ,, ,
122,Verizon Commun,2000000,0.4,100,61.07,28.01,31.79,36.64,46.06,54.51,61.07,81.66,101.1, ,, ,
123,Walmart Inc,2000000,0.4,100,26.74,10.95,13.28,17.45,20.22,23.72,26.74,39.74,51.15, ,, ,
124,Weyerhaeuser Co,2000000,0.4,100,33.54,10.8,12.39,16.54,23.16,27.17,33.54,47.5,63.83, ,, ,
125,Simon Property ,2000000,0.4,100,53.22,16.96,21.28,28.65,36.23,45.33,53.22,83.96,100.67,,, ,
,,,,,,,,,,,,,,,, ,
,,,,,,,,,,,,,,,, ,
,,,,,,,,,,,,,,,, ,
