Tenor,Bid,Ask,Last,0-3,0-3 upfront,3-7,3-7 upfront,4-6,7-10,10-15,15-100,0-100
1Y,16.1,16.6,16.35,535.39,4.481228,55.68,-0.469969,50.15,22.49,6.15,4.57,22.73
2Y,24.46,24.96,24.71,627.19,10.040622,96.94,-0.061427,89.45,43.09,16.19,8.21,30.81
3Y,32.121,33.222,32.672,721.49,16.661083,143.29,1.258673,134.3,68.33,29.77,12.89,40.07
5Y,52.711,53.397,53.054,690.14,24.047425,214.63,5.215298,118.14,56.68,46.97,11.62,53.94
7Y,70.613,73.252,71.934,986.86,42.73435,329.51,13.534836,319.05,187.84,105.66,39.38,80.51
10Y,92.012,92.438,92.238,"1,030.68",52.709812,392.04,21.812705,383,237.5,143.49,54.9,97.65

