Tenor,OIS Curve Mid,Final Bid Rate,Final Ask Rate
1W,3.897000074,3.88731575,3.906684399
2W,3.901499987,3.89629221,3.906707764
3W,3.844000101,3.839681864,3.848318338
1M,3.790120125,3.784482956,3.795757294
2M,3.735499859,3.730617285,3.740382433
3M,3.701850414,3.697933674,3.705767155
4M,3.683202744,3.679155588,3.687249899
5M,3.654099941,3.64861393,3.659585953
6M,3.628600121,3.62391448,3.633285761
7M,3.603425026,3.599297523,3.607552528
8M,3.570250034,3.565983534,3.574516535
9M,3.53670001,3.532631636,3.540768385
10M,3.503399849,3.499945641,3.506854057
11M,3.475660324,3.471725702,3.479594946
12M,3.445340157,3.441091776,3.449588537
18M,3.290164948,3.285987377,3.294342518
2Y,3.221241802,3.214849458,3.227634147
3Y,3.181557608,3.158934978,3.204180238
4Y,3.202158039,3.195425252,3.208890826
5Y,3.243157779,3.22104265,3.265272908
6Y,3.300513243,3.29125632,3.309770165
7Y,3.362511208,3.35447825,3.370544166
8Y,3.425751061,3.417494575,3.434007546
9Y,3.487774971,3.46694579,3.508604152
10Y,3.547964873,3.544809033,3.551120712
12Y,3.65865895,3.644068746,3.673249154
15Y,3.789440434,3.772724084,3.806156784
20Y,3.898814232,3.890764276,3.906864188
25Y,3.913071222,3.904883892,3.921258552
30Y,3.883683578,3.861402094,3.905965062
40Y,3.783116798,3.768797434,3.797436161
50Y,3.667273363,3.65209915,3.682447575
