,Company,Notional Recovery Rate,Recovery rate,Running Spread,Sprd at Maturity,6 Mo,1 Yr,2 Yr,3 Yr,4 Yr,5 Yr,7 Yr,10 Yr,Unnamed: 14,Unnamed: 15,,,,,,,,
47,FedEx Corp,2000000,0.4,100,55.19,20.73,24.45,31.37,40.15,48.22,55.19,79.04,98.41,,,,,, ,,,,
48,FirstEnergy Corp,2000000,0.4,100,48.24,16.99,19.78,29.65,34.97,42.21,48.24,67.64,81.83,,,,,, ,,,,
49,Ford Motor Co,2000000,0.4,500,170.19,68.69,83.92,106.76,128.22,146.57,170.19,212.62,232.19,,,,,, ,,,,
50,Freeport-McMoRa,2000000,0.4,100,79.52,17.13,21.46,34.76,50.6,67.2,79.52,110.27,133.79,,,,,, ,,,,
51,General Electric ,2000000,0.4,100,33.07,11.27,12.15,14.67,18.85,26.79,33.07,52.51,73.13,,,,,, ,,,,
52,General Mills Inc,2000000,0.4,100,50.31,14.1,18.21,23.91,34.5,40.65,50.31,67.65,84.88,,,,,, ,,,,
53,General Motors C,2000000,0.4,500,108.83,35.57,38.67,55.45,72,93.34,108.83,150.7,169.89,,,,,, ,,,,
54,Halliburton Co,2000000,0.4,100,62.67,22.11,25.12,33.92,41.69,52.55,62.67,90.94,112.57,,,,,, ,,,,
55,HCA Inc,2000000,0.4,500,60.4,16.62,21.06,32.48,43.63,52.83,60.4,85.22,106.85,,,,,, ,,,,
56,Honeywell Intern,2000000,0.4,100,26.57,10.21,11.76,14.81,18.28,21.11,26.57,40.59,53.29,,,,,, ,,,,
57,Host Hotels & Re,2000000,0.4,100,84.31,28.11,33.02,44.85,56.63,70.66,84.31,120.78,146.24,,,,,, ,,,,
58,HP Inc,2000000,0.4,100,78.15,19.65,22.72,34.78,51.13,65.84,78.15,103.31,132.06,,,,,, ,,,,
59,Intel Corp,2000000,0.4,100,73.41,23.76,31.01,39.07,47.4,61.8,73.41,94.5,111.09,,,,,, ,,,,
60,International Bu,2000000,0.4,100,48.85,12.11,18.69,24.28,34.1,41.97,48.85,65.58,80.12,,,,,,,,,,
61,International Pa,2000000,0.4,100,69.62,18.82,22.57,32.48,44.53,55.25,69.62,93.02,103.61,,,,,,,,,,
62,Johnson & Johns,2000000,0.4,100,24.96,11.71,14.17,16.27,17.72,21.07,24.96,41.07,59.21,,,,,,,,,,
63,Johnson Controls,2000000,0.4,100,39.47,12.55,15.41,19.45,25.05,32.86,39.47,53.82,65.49,,,,,,,,,,
64,Kinder Morgan In,2000000,0.4,100,60.92,17.63,22.66,31.89,41.75,51.65,60.92,86.1,106.05,,,,,,,,,,
65,Kraft Heinz Food,2000000,0.4,100,55.72,14.57,19.55,29.48,37.68,46.31,55.72,86.37,108.67,,,,,,,,,,
66,Lennar Corp,2000000,0.4,500,84.88,31.57,34.61,46.88,59.67,74.33,84.88,122.73,144.03,,,,,,,,,,
67,Lincoln National ,2000000,0.4,100,125.81,42.92,51.25,68.2,85.12,108.7,125.81,163.8,188.06,,,,,, , , , , 
68,Lockheed Martin ,2000000,0.4,100,27.3,10.52,12.08,14.3,18.69,22.56,27.3,40.99,55.22,,,,,,,,,,
69,Lowe's Cos Inc,2000000,0.4,100,40.46,11.56,15.97,21.68,29.28,34.05,40.46,56.91,74.6,,,,,, ,,,,
70,Sekisui House US,2000000,0.4,100,67.9,24.78,32.18,40.5,52.17,61.37,67.9,101.25,137.01,,,,,, ,,,,
71,Marathon Petrole,2000000,0.4,500,63.74,22.12,26.94,34.27,44.37,55.52,63.74,95.5,120.45,,,,,, ,,,,
72,McDonald's Corp,2000000,0.4,100,28.41,11.83,12.96,16.89,21.04,24.41,28.41,40.1,53.1,,,,,, ,,,,
73,McKesson Corp,2000000,0.4,100,37.74,13.52,15.02,19.96,26.58,30.82,37.74,59.14,77.53,,,,,, ,,,,
74,MetLife Inc,2000000,0.4,100,67.31,24.15,27.03,36.4,47.84,56.53,67.31,95.08,113.56,,,,,, ,,,,
