Tenor,Detachment,Correlation
7.0,0.005,0.12253417675057289
7.0,0.01,0.14141501403986892
7.0,0.015,0.16148322283579228
7.0,0.02,0.18226934168420647
7.0,0.025,0.20330390913097507
7.0,0.03,0.2241174637219615
7.0,0.035,0.2442405440030294
7.0,0.04,0.2632036885200421
7.0,0.045,0.2805374358188632
7.0,0.05,0.2957723244453563
7.0,0.055,0.30843889294538485
7.0,0.06,0.31806767986481227
7.0,0.065,0.32418922374950215
7.0,0.07,0.326334063145318
7.0,0.075,0.3261642677088444
7.0,0.08,0.3256814476527723
7.0,0.085,0.3249254523571252
7.0,0.09,0.3239361312019264
7.0,0.095,0.32275333356719915
7.0,0.1,0.3214169088329668
7.0,0.105,0.31908794689084125
7.0,0.11,0.3149943099075024
7.0,0.115,0.3092760056755756
7.0,0.12,0.30207304198768625
7.0,0.125,0.2935254266364598
7.0,0.13,0.2837731674145215
7.0,0.135,0.2729562721144969
7.0,0.14,0.2612147485290113
7.0,0.145,0.24868860445069013
7.0,0.15,0.23551784767215866
10.0,0.005,0.053030065943158976
10.0,0.01,0.08825554450038825
10.0,0.015,0.12358230003803643
10.0,0.02,0.15863026551783524
10.0,0.025,0.19301937390151636
10.0,0.03,0.2263695581508115
10.0,0.035,0.2583007512274524
10.0,0.04,0.28843288609317064
10.0,0.045,0.31638589570969805
10.0,0.05,0.3417797130387664
10.0,0.055,0.36423427104210715
10.0,0.06,0.38336950268145215
10.0,0.065,0.39880534091853315
10.0,0.07,0.4101617187150818
10.0,0.075,0.41821430447841806
10.0,0.08,0.4244695813594046
10.0,0.085,0.42964370443508637
10.0,0.09,0.4344528287825087
10.0,0.095,0.4396131094787166
10.0,0.1,0.4458407016007554
10.0,0.105,0.45302933887191454
10.0,0.11,0.4605938499345229
10.0,0.115,0.4685320322441849
10.0,0.12,0.4768416832565046
10.0,0.125,0.4855206004270863
10.0,0.13,0.4945665812115342
10.0,0.135,0.5039774230654526
10.0,0.14,0.5137509234444455
10.0,0.145,0.5238848798041174
10.0,0.15,0.5343770896000725
