Tenor,Bid,Ask,Last,0-3,0-3 upfront,3-7,3-7 upfront,7-10,10-15,15-100,0-100
1Y,17.08,17.58,16.33,544.01,5.599248,56.48,0.5233410000000001,23.37,7.68,5.11,22.56
2Y,25.41,25.91,24.6,640.31,11.302443,98.78,0.955195,44.28,17.94,8.530000000000001,30.64
3Y,34.177,35.968,34.068,733.36,17.957286,145.16,2.286625,69.42,31.46,12.92,39.57
5Y,55.63,56.038,54.825,881.98,31.623924,238.64,7.239211,125.51,65.2,23.4,57.79
7Y,73.29,76.95,73.423,1085.5,47.070654,406.68,18.651617,225.32,140.2,43.82,90.62
10Y,94.33,94.85,93.55,1058.09,54.586582,404.49,23.535579,245.35,149.52,54.28,97.42
