,Company,Notional Recovery Rate,Recovery rate,Running Spread,Sprd at Maturity,6 Mo,1 Yr,2 Yr,3 Yr,4 Yr,5 Yr,7 Yr,10 Yr, ,,,,,,
49,Ford Motor Co,2000000,0.4,500,161.45,69.52,80.77,101.9,121.38,139.65,161.45,202.94,222.06, , , ,,,,
50,Freeport-McMoRa,2000000,0.4,100,78.05,18.24,21,33.54,49.61,65.29,78.05,107.13,129.77, , , ,,,,
51,General Electric ,2000000,0.4,100,30.49,9.74,11.43,14.43,17.65,25.21,30.49,50.89,73.38, , , ,,,,
52,General Mills Inc,2000000,0.4,100,47.7,15.17,18.45,23.22,32.48,38.92,47.7,64.78,82.13, , , ,,,,
53,General Motors C,2000000,0.4,500,106.13,31.72,37.6,53.59,69.81,89.89,106.13,148.87,170.48, , , ,,,,
54,Halliburton Co,2000000,0.4,100,59.23,21.57,24.15,33.02,40,50.71,59.23,83.84,107.61, , , ,,,,
55,HCA Inc,2000000,0.4,500,57.87,17.15,24.21,35.06,44.43,52.73,57.87,80.14,100.54, , , ,,,,
56,Honeywell Intern,2000000,0.4,100,26.29,9.18,12.84,15.13,19.03,22.09,26.29,39.55,52.1, , , ,,,,
57,Host Hotels & Re,2000000,0.4,100,79.61,28.07,32.82,43.43,54.88,68.08,79.61,116.56,141.44, , , ,,,,
58,HP Inc,2000000,0.4,100,76.9,16.42,21.71,33.82,50.91,65,76.9,102.31,128.5, , , ,,,,
59,Intel Corp,2000000,0.4,100,68.57,20.14,28.19,36.94,45.2,57.44,68.57,86.27,102.43, , , ,,,,
60,International Bu,2000000,0.4,100,43.81,12.35,16.2,21.21,29.34,36.97,43.81,59.7,73.43, , , ,,,,
61,International Pa,2000000,0.4,100,63.87,17.11,20.54,29.88,40.76,51.37,63.87,86.81,97.64, ,,,,,,
62,Johnson & Johns,2000000,0.4,100,22.03,9.59,12.09,13.67,15.32,18.04,22.03,37.32,53.77, ,,,,,,
63,Johnson Controls,2000000,0.4,100,36.68,11.37,13.97,17.48,23.62,30.08,36.68,55.06,69.44, ,,,,,,
64,Kinder Morgan In,2000000,0.4,100,58.77,18.14,23.3,31.85,41.18,50.95,58.77,85.33,106.14, ,,,,,,
65,Kraft Heinz Food,2000000,0.4,100,53.35,14.57,18.66,27.71,35.73,43.95,53.35,77.78,103.75, ,,,,,,
66,Lennar Corp,2000000,0.4,500,79.17,32.17,36.11,46.96,59.37,72.9,79.17,112.24,127.03, ,,,,,,
67,Lincoln National ,2000000,0.4,100,116.05,40.07,47.81,62.64,79.36,99.62,116.05,146.27,167.28, ,,,,,,
68,Lockheed Martin ,2000000,0.4,100,24.8,8.53,10.38,12.81,17,20.63,24.8,35.95,47.05, ,,,,,,
69,Lowe's Cos Inc,2000000,0.4,100,36.89,10.35,14.62,19.13,26.34,30.98,36.89,52.56,69.78, ,,,,,,
70,Sekisui House US,2000000,0.4,100,65.33,23.72,30.69,38.57,50.03,59.61,65.33,90.77,121.27, , , , , , , 
71,Marathon Petrole,2000000,0.4,500,60.17,21.75,26.48,34.66,43.47,53.97,60.17,91.35,115.5, ,,,,,,
72,McDonald's Corp,2000000,0.4,100,26.71,11,13.13,16.59,20.05,23.53,26.71,37.45,50.03, , , ,,,,
73,McKesson Corp,2000000,0.4,100,33.55,12.31,13.57,18.16,24.02,27.9,33.55,52.13,68.7, , , ,,,,
74,MetLife Inc,2000000,0.4,100,67.09,23.78,27.43,36.77,47.83,56.58,67.09,92.78,110.2, , , ,,,,
75,Mondelez Interna,2000000,0.4,100,44.47,15.86,19.37,27.46,31.82,37.76,44.47,64.09,80.97, , , ,,,,
76,Motorola Solution,2000000,0.4,100,41.64,12.56,16.69,21.52,29.15,36.23,41.64,58.01,77.19, , , ,,,,
