Company,Recovery,S_1Y,S_2Y,S_3Y,S_5Y,S_7Y,S_10Y
Advanced Micro D,0.4,0.9978574639572618,0.994177320857377,0.9883996228698074,0.9718833608762967,0.9335398372213718,0.8749891039759338
Ally Financial Inc,0.4,0.993242867513477,0.9789049411594478,0.9591658374828358,0.8889807474911874,0.8064374007099401,0.6819615357579478
Altria Group Inc,0.4,0.9981983782753922,0.9948169702906221,0.9889477467780675,0.9693848101743738,0.9353579958147799,0.8805346518032983
Amazon.com Inc,0.25,0.9984406051082254,0.995808880067956,0.9922088780074602,0.9818714685371479,0.9616687231901374,0.9259716784798304
American Electri,0.4,0.9984486265072552,0.9956226072450901,0.9906581492376642,0.9744448041034711,0.9493305919022047,0.9008571482744319
American Expres,0.4,0.9982430494141491,0.9949847278190069,0.9898580167073987,0.97485329151516,0.9467430435254004,0.8995164221012355
American Interna,0.4,0.9970090032784324,0.991427252332852,0.9822851437940867,0.9534068351222102,0.9101466815985267,0.8417663015183456
Amgen Inc,0.4,0.9983329359726146,0.9945002881204745,0.9884968301370263,0.9700977080798019,0.9401331179941431,0.8854931834845872
APA Corp,0.4,0.9944383428594139,0.9839601497628142,0.9661750002266113,0.9057421708706317,0.8412488357395511,0.7372710488884895
Arrow Electronic,0.4,0.9969733507072104,0.9906629150587752,0.9801921774612578,0.9452267764331498,0.8949476806793913,0.8176841737057633
AT&T Inc,0.4,0.9960453725480813,0.9896412800290595,0.9808126197076434,0.9528850334342726,0.9130683266361511,0.8440594385453158
AutoZone Inc,0.4,0.9980154090910318,0.9937967013889655,0.9888545291313163,0.9711756335173488,0.9458434522238945,0.8953248248688574
Avnet Inc,0.4,0.9967937942767393,0.9897184899994209,0.9774602429097032,0.9383082928051028,0.8773044008566326,0.7861415503166488
Barrick Mining C,0.4,0.9985419457357523,0.9956841122307142,0.9909305581503318,0.9726360950234196,0.9438528260291866,0.8887172051739394
Baxter Internatio,0.4,0.9972512209655484,0.9914751140018305,0.983135345249916,0.9461647777009422,0.9003791363400231,0.8302976902036198
Best Buy Co Inc,0.4,0.9973666676070067,0.9919187391345156,0.9839814874693749,0.9530687369612494,0.9110535888724238,0.8352361380083155
Block Financial L,0.4,0.9967813058178019,0.9909654092646705,0.9813469744907607,0.9534858516142247,0.8946837231947248,0.8004336530131057
BorgWarner Inc,0.4,0.9970570837985977,0.991515818844419,0.9835333763571654,0.9557992091505492,0.9113711279935662,0.8359706746299338
Boston Scientific,0.4,0.9983503867869504,0.9953651438774453,0.9920603356286256,0.9756658943554488,0.9495114989884816,0.9050103580887289
Bristol-Myers Sq,0.4,0.9982326282247577,0.9951719490832094,0.9895296285962617,0.9723072126770943,0.9460336091074407,0.9000459730492886
Broadcom Inc,0.4,0.9981590982554521,0.9948135944630989,0.9893548396471821,0.9710052863046648,0.9375806658998119,0.8931543338625967
Canadian Natura,0.4,0.9965135904814542,0.989741576718631,0.9791183993031145,0.9448584620312285,0.8954580476381858,0.7969881696165755
Capital One Finan,0.4,0.9956564165692017,0.9876548671371838,0.9756775932851444,0.9386321642373365,0.8912267982123777,0.8056396321558912
Cardinal Health I,0.4,0.9983066080665532,0.9946317148698813,0.9890307712104954,0.9709085021618966,0.9416544768187193,0.8858808369220108
Caterpillar Inc,0.4,0.9984717975005748,0.9958780795735369,0.9910030462426785,0.9765801720271055,0.9520652450264641,0.9046821163713065
Cisco Systems In,0.4,0.9984319187547519,0.9954204671646073,0.9906796215667508,0.9749688928905824,0.9556640538898387,0.9166125411457621
Comcast Corp,0.4,0.9974838676176613,0.9930126477195761,0.984673497972582,0.9593678319507623,0.9258078357883593,0.8575409688434084
Conagra Brands ,0.4,0.9972097397120077,0.9918167721378972,0.9812826207004253,0.9412120515632867,0.894871042954978,0.8186097722792792
ConocoPhillips,0.4,0.9978453757899927,0.9938399702074281,0.9874347621365285,0.9669324225172214,0.9352867069068898,0.8805221960667217
Cox Communicat,0.4,0.997785841599796,0.9933153767553783,0.9859483754889886,0.9608419620523561,0.9259383892380103,0.8534303530988805
CSX Corp,0.4,0.9987222348171323,0.9967619002336806,0.9929613270472465,0.982465421141112,0.9608766357806996,0.9204713396199117
CVS Health Corp,0.4,0.9976163171565469,0.992305530443017,0.983735131518603,0.9556553477776845,0.9153282117109042,0.8444696963867849
DR Horton Inc,0.4,0.9970835336087918,0.9913461998627409,0.9832963648187132,0.9564262042674316,0.9173411739375249,0.8505928205352012
Danaher Corp,0.4,0.9986492150912037,0.9961484677183589,0.9914850473666211,0.9769130909199714,0.9479136660530106,0.8963625206715943
Darden Restaura,0.4,0.9976621886436638,0.9929746361596156,0.9860064011245598,0.9612801924353562,0.9277478420684967,0.8619843201293264
Deere & Co,0.4,0.998285109493468,0.9951019792715099,0.9902586175858372,0.9733740940623012,0.9450805359159885,0.8879338602186406
Dell Inc,0.4,0.9978091418853267,0.9933120190057491,0.9845154884541089,0.9543154834230878,0.9047519693298497,0.8269231007329262
