,Company,Notional Recovery Rate,Recovery rate,Running Spread,Sprd at Maturity,6 Mo,1 Yr,2 Yr,3 Yr,4 Yr,5 Yr,7 Yr,10 Yr, , 
53,General Motors C,2000000,0.4,500,106.9,35.93,39.08,55.35,71.11,91.54,106.9,153.34,170.61, , 
54,Halliburton Co,2000000,0.4,100,61.45,21.48,25.14,33.28,40.99,51.43,61.45,87.37,107.6, , 
55,HCA Inc,2000000,0.4,500,58.74,16.8,21.32,32.5,42.95,50.42,58.74,84.14,105.39, , 
56,Honeywell Intern,2000000,0.4,100,26.51,8.72,11.86,14.71,18.48,21.47,26.51,41.14,54.73, , 
57,Host Hotels & Re,2000000,0.4,100,83.36,28.24,33.16,44.18,56.52,69.27,83.36,120.6,146.35, , 
58,HP Inc,2000000,0.4,100,78.84,17.24,22.89,35.43,51.51,66.64,78.84,104.56,133.4, , 
59,Intel Corp,2000000,0.4,100,71.62,23.87,31.16,39.95,47.62,61.54,71.62,89.74,104.68, , 
60,International Bu,2000000,0.4,100,45.32,12.03,16.78,22.67,31.59,38.98,45.32,63.79,77.5, , 
61,International Pa,2000000,0.4,100,67.26,17.5,21.02,31.42,43.37,54.12,67.26,90.14,100.69, , 
62,Johnson & Johns,2000000,0.4,100,24.4,11.91,14.08,15.79,17.48,20.59,24.4,39.73,57.46, , 
63,Johnson Controls,2000000,0.4,100,38.33,12.9,15.8,19.53,24.81,31.73,38.33,52.53,64.28, , 
64,Kinder Morgan In,2000000,0.4,100,60.94,17.73,22.81,31.75,41.37,51.63,60.94,87.73,108.64, , 
65,Kraft Heinz Food,2000000,0.4,100,54.7,14.21,19.07,28.67,37.13,45.79,54.7,81.58,107.61, , 
66,Lennar Corp,2000000,0.4,500,80.95,28.43,33.04,44.51,57.5,71.88,80.95,116.42,135.35, , 
67,Lincoln National ,2000000,0.4,100,121.13,40.84,48.58,64.79,82.15,104.07,121.13,155.54,178.77, , 
68,Lockheed Martin ,2000000,0.4,100,26.18,8.97,10.98,13.58,17.84,22.08,26.18,39.03,51.32, , 
69,Lowe's Cos Inc,2000000,0.4,100,38.23,10.55,14.9,19.89,27.16,32.13,38.23,55.68,74.39, , 
70,Sekisui House US,2000000,0.4,100,67.41,26.37,34.23,43.06,54.44,64.93,67.41,87.49,113.86, , 
71,Marathon Petrole,2000000,0.4,500,62.47,20.43,24.99,33.55,43.44,54.29,62.47,94.75,119.49, , 
72,McDonald's Corp,2000000,0.4,100,27.52,11.64,12.83,16.35,19.89,23.64,27.52,40.93,53.83, , 
73,McKesson Corp,2000000,0.4,100,35.74,12.67,14.32,18.96,25.27,29.68,35.74,59.71,79.78, , 
74,MetLife Inc,2000000,0.4,100,67.87,24.35,27.48,37.1,48.69,57.09,67.87,93.8,111.54, , 
75,Mondelez Interna,2000000,0.4,100,45.25,16.13,19.75,27.99,32.88,38.76,45.25,65.18,79.94, , 
76,Motorola Solution,2000000,0.4,100,43.28,11.11,17.81,21.92,30.39,37.85,43.28,61.17,80.92, , 
77,National Rural U,2000000,0.4,100,23.81,8.25,9.75,12.78,17.35,20.33,23.81,42.45,55.19, , 
78,Netflix Inc,2000000,0.4,500,36.49,12.96,16.03,20.42,26.33,32.18,36.49,54.42,63.72, , 
79,Newmont Corp,2000000,0.4,100,38.8,9.22,14.97,20.3,25.82,32.09,38.8,60.32,83.01, , 
80,NextEra Energy C,2000000,0.4,100,64.05,15.58,27.01,34.93,44.52,53.84,64.05,96.03,116.61, , 
81,Norfolk Southern,2000000,0.4,100,24.24,9.14,11.69,14.49,17.12,20.45,24.24,34.91,48.89, , 
82,Northrop Grumm,2000000,0.4,100,26.8,8.64,12.5,15.82,20.73,24.62,26.8,41.37,54.11, , 
83,Occidental Petro,2000000,0.4,100,95.48,45.92,51.31,63.54,76.95,85.08,95.48,124.09,146.75, , 
84,Omnicom Group ,2000000,0.4,100,51.56,14.25,18.8,25.36,34.76,41.17,51.56,67.31,84.71, , 
85,Oracle Corp,2000000,0.4,100,124.01,43.14,49.84,65.86,84.02,106.01,124.01,155.8,187.83, , 
86,Ovintiv Inc,2000000,0.4,100,106.34,41.99,48.27,62.37,75.09,92.5,106.34,145.83,171.35, , 
87,Packaging Corp o,2000000,0.4,100,38.27,13.23,14.48,19.2,25.87,32.02,38.27,50.28,65.52, , 
88,Paramount Globa,2000000,0.4,100,140.05,34.52,29.04,49.07,78.24,114.28,140.05,184.21,203.63, , 
89,Pfizer Inc,2000000,0.4,100,36.76,13.23,13.74,19.64,25.42,31.16,36.76,54.87,77.46, , 
90,Prudential Finan,2000000,0.4,100,68.15,21.69,27.36,37.34,47.44,58.03,68.15,93.93,114.15, , 
91,PulteGroup Inc,2000000,0.4,500,74.06,30.43,30.98,41.81,54.31,66.51,74.06,105.89,130.71, , 
92,Quest Diagnostic,2000000,0.4,100,33.18,9.05,14.15,17.6,23.45,28.91,33.18,48.46,63.83, , 
93,Radian Group Inc,2000000,0.4,500,99.7,25.43,38.39,52.83,70.23,84.5,99.7,124.1,145.24, , 
94,Royal Caribbean ,2000000,0.4,500,84.89,30.12,39.42,53.16,61.81,72.79,84.89,120.16,140.6, , 
95,RTX Corp,2000000,0.4,100,39.07,11.74,15.51,21.49,28.82,33.59,39.07,55.77,68.82, , 
96,Ryder System In,2000000,0.4,100,65.76,15.85,18.8,30.08,41.44,56.72,65.76,94.11,120.3, , 
97,Sempra,2000000,0.4,100,35.19,9,15,20,26.01,31,35.19,55,72.3, , 
98,Southwest Airline,2000000,0.4,100,113.86,35.32,43.31,64.81,79.38,97.31,113.86,152.38,175.9, , 
99,T-Mobile USA Inc,2000000,0.4,500,52.01,20.73,25.18,30.53,36.32,45.52,52.01,71.97,90.16, , 
100,Target Corp,2000000,0.4,100,51.51,13.37,19.22,29.33,36.83,43.19,51.51,68.34,80.59, , 
101,Teck Resources ,2000000,0.4,500,49.51,13.94,19.06,26.29,33.86,41.95,49.51,78.12,100.38, , 
102,AES Corp/The,2000000,0.4,500,110.49,20.74,37.54,57.08,76.23,93.26,110.49,150.25,169.8, , 
103,Allstate Corp/Th,2000000,0.4,100,30.66,10.55,12.54,16.32,20.99,25.75,30.66,42.04,51.97, , 
104,Boeing Co/The,2000000,0.4,100,72.93,30.78,35.86,43.47,54.87,62.94,72.93,99.76,116.8, , 
105,Campbell's Comp,2000000,0.4,100,57.34,15.78,22.07,27.84,36.9,46.11,57.34,83.18,102.44,,
106,Dow Chemical Co,2000000,0.4,100,99.96,22.43,29.62,43.48,62.06,81.96,99.96,133.45,156.87, , 
107,Home Depot Inc/,2000000,0.4,100,31.51,12.57,14.91,19.68,23.83,27.24,31.51,45.74,60.57, , 
108,Kroger Co/The,2000000,0.4,100,40.51,12.42,15.52,20.84,27.19,33.25,40.51,60.48,75.91, , 
109,PNC Financial Se,2000000,0.4,100,56.38,29.45,31.28,37.08,44.1,50.66,56.38,73.43,86.11, , 
110,Procter & Gambl,2000000,0.4,100,25.55,11.12,14.05,16.58,20.24,22.55,25.55,36.19,47.88, , 
111,Sherwin-Williams,2000000,0.4,100,49.23,15.92,19.53,24.82,32.48,40.43,49.23,71.84,88.92, , 
112,Southern Co/The,2000000,0.4,100,41.7,12.4,17.49,26.47,33.18,37.63,41.7,61.78,78.93, , 
113,Walt Disney Co/T,2000000,0.4,100,37.48,16.64,19.83,23.07,28.91,33.58,37.48,52.17,62.62, , 
114,Williams Cos Inc,2000000,0.4,100,53.2,14.59,16.43,23.62,34.09,44.36,53.2,82.81,104.83, , 
115,Toll Brothers Inc,2000000,0.4,100,84.14,24.78,35.5,46.21,58.06,73.97,84.14,119.5,143.8, , 
116,TransCanada Pip,2000000,0.4,100,55.26,13.44,18.95,25.46,35.28,44.66,55.26,80.79,103.37, , 
117,Tyson Foods Inc,2000000,0.4,100,47.56,14.65,17.96,23.87,33.14,39.38,47.56,68.61,88.12, , 
118,Union Pacific Cor,2000000,0.4,100,26.38,8.01,11.15,14.59,18.56,22.34,26.38,38.54,51.9, , 
119,United Parcel Se,2000000,0.4,100,33.8,10.99,14.8,18.65,22.46,28.34,33.8,50.22,64.23, , 
120,UnitedHealth Gro,2000000,0.4,100,44.33,16.33,19.54,26,32.28,37.41,44.33,65.72,82.84, , 
121,Valero Energy Co,2000000,0.4,100,52.67,15.43,18.48,25.21,34.43,44.75,52.67,81.29,102.17, , 
122,Verizon Commun,2000000,0.4,100,61.07,27.78,31.51,36.65,45.33,53.16,61.07,80.94,99.38, , 
123,Walmart Inc,2000000,0.4,100,26.63,11.29,13.07,17.17,21,24.61,26.63,39.14,50.21, , 
124,Weyerhaeuser Co,2000000,0.4,100,34.61,11.63,13.19,17.96,23.56,27.95,34.61,48.27,64.23, , 
125,Simon Property ,2000000,0.4,100,53.35,16.96,20.56,28.7,36.48,45.01,53.35,81.75,98.01, , 
