Tenor,OIS Curve Mid
1W,3.8927
2W,3.894
3W,3.886
1M,3.8659
2M,3.8426
3M,3.8026
4M,3.778
5M,3.7474
6M,3.7197
7M,3.694
8M,3.6608
9M,3.6269
10M,3.5961
11M,3.5658
12M,3.5337
18M,3.3773
2Y,3.31
3Y,3.275
4Y,3.297
5Y,3.3423
6Y,3.4007
7Y,3.4629
8Y,3.5246
9Y,3.5849
10Y,3.6433
12Y,3.7512
15Y,3.8785
20Y,3.9823
25Y,3.9929
30Y,3.9622
40Y,3.8544
50Y,3.7387
