Tenor,Bid,Ask,Last,0-3,0-3 upfront,3-7,3-7 upfront,7-10,10-15,15-100,0-100
1Y,16.2,16.7,16.34,537.59,4.555922,55.02,-0.482809,22.4,5.73,4.79,22.92
2Y,24.6,25.1,24.58,632.28,10.188453,96.57,-0.069209,43.21,15.8,8.57,31.22
3Y,33.97,34.42,34.6906,722,16.715798,141.41,1.208271,67.73,28.95,13.26,40.25
5Y,54.55,54.87,54.8686,864.68,30.086765,231.14,5.954627,121.82,61.47,24.14,58.47
7Y,72.25,75.89,74.844,991.24,42.863432,328.37,13.4656,187.55,104.79,40.28,81.27
10Y,93.47,93.72,93.7609,1036.23,52.836136,391.65,21.756998,237.59,142.85,56.06,98.71
