Tenor,Bid,Ask,Last,0-3,0-3 upfront,3-7,3-7 upfront,4-6,7-10,10-15,15-100,0-100
1Y,15.08,15.58,15.33,508.84,4.142673,52.08,-0.499335,46.89,20.5,5.49,4.13,21.39
2Y,22.97,23.47,23.22,600.33,9.473432,91.59,-0.167302,84.48,39.88,14.83,7.5,29.11
3Y,30.484,31.584,31.034,689.74,15.788677,135.23,1.019259,126.67,63.35,27.31,11.82,37.77
5Y,51.095,51.438,51.267,790.79,27.51349,223.55,5.0601,223.55,115.83,58.7,22.16,51.73
7Y,68.664,71.73,70.197,958.87,41.688374,316.43,12.782471,308.71,180.07,100.66,37.52,77.56
10Y,90.282,90.73,90.506,"1,004.89",51.800378,381.97,21.135941,373.09,229.72,138.15,52.8,94.65

