Company,Recovery,S_1Y,S_2Y,S_3Y,S_5Y,S_7Y,S_10Y
Advanced Micro D,0.4,0.9975583604983613,0.9931902184072299,0.9863114434944028,0.965680940287608,0.9274135018265824,0.8735586396041563
Honeywell Intern,0.4,0.9984945224976739,0.9959243648664291,0.9920207629891911,0.9797252329977962,0.9580058958143732,0.9178027743215098
Barrick Mining C,0.4,0.9984223301520566,0.995163877713531,0.9896958474436603,0.969496041944219,0.9384998000745808,0.8796350895207118
American Electri,0.4,0.9984135659153607,0.9952229078965604,0.9900766758991822,0.974233069042602,0.9475983117108264,0.8978422083471248
American Expres,0.4,0.998102307812033,0.9949597233830206,0.9900836009202779,0.9750577757250916,0.9507471976080946,0.908875882686676
American Interna,0.4,0.9967168987634835,0.9907198288882191,0.9809678436924171,0.952156617567447,0.905480496060746,0.8347494768027085
Arrow Electronic,0.4,0.9968478876174292,0.98980576975741,0.9772866856116929,0.9352850311286453,0.8868209704676812,0.8069580968715377
AutoZone Inc,0.4,0.997797429776488,0.9939028332495569,0.9887800907928951,0.971043377450845,0.9443375395891406,0.8910991153127263
Avnet Inc,0.4,0.9967048706141932,0.9887754598053389,0.9744276124544083,0.9276386911987272,0.8694463028356821,0.7768439671809086
Baxter Internatio,0.4,0.9967014969691818,0.9896254762055339,0.9783149422369297,0.9334399614307316,0.8834252979894802,0.8081914772401393
Verizon Commun,0.4,0.9960619460895017,0.989882312704468,0.9802696278765481,0.9533929591800012,0.9146481631675355,0.8412582330863263
Best Buy Co Inc,0.4,0.9969928006021728,0.9905821928920497,0.9816433975514574,0.9473707477031387,0.9026074733697454,0.8204671826976275
Boeing Co/The,0.4,0.9958883151665646,0.9889116390121583,0.9783428706484488,0.946869400202941,0.908210502276872,0.844252832819853
Boston Scientific,0.4,0.9984030385107001,0.9951728252745131,0.991007896749743,0.9743811664227822,0.9457573145844542,0.8989179373527284
Bristol-Myers Sq,0.4,0.9981414075924592,0.9945423793798143,0.9894136728133291,0.971181084452361,0.9436535928921143,0.8933214177992317
Campbell's Comp,0.4,0.9973116623179886,0.9925682935157272,0.9839458643609482,0.9547781923846763,0.9130165502347014,0.8459980231120702
Caterpillar Inc,0.4,0.9985086628287456,0.9959756179817302,0.9908928695489021,0.9775921453002009,0.9524600368148177,0.9055156454213443
Conagra Brands ,0.4,0.9966070553042036,0.9900846605281126,0.97809386866082,0.9336551899744925,0.8822328091589067,0.8011797746357125
CSX Corp,0.4,0.998504965325524,0.9962960162632467,0.9921386519105698,0.981845628140128,0.9603360308385557,0.9206248920310225
Danaher Corp,0.4,0.9986086875839328,0.996026421800583,0.9912032108997888,0.976274671391716,0.9454785849496233,0.89301386568688
Target Corp,0.4,0.9974935674119603,0.9920857597675533,0.9841474687143353,0.9595916849634918,0.9286037936550229,0.8747229837945795
Deere & Co,0.4,0.9982463940435202,0.9948821511373582,0.9896619474192309,0.9728645197747783,0.9448576739084656,0.8886751114700742
Dominion Energy,0.4,0.9980257582873817,0.9938000609327432,0.9877042689316398,0.9682632847785494,0.935917312943063,0.8845692905685473
Dow Chemical Co,0.4,0.9962512120164179,0.9877549785513702,0.9727697492613017,0.9210632448431315,0.8585762248635356,0.7632647083429115
FedEx Corp,0.4,0.9971410848598324,0.9919146881561137,0.9825832173926256,0.956320714464861,0.9155614592373994,0.8473035375747344
Ford Motor Co,0.4,0.9899003748966374,0.9723292783348999,0.9472359614985725,0.8744841772824259,0.7909851459842769,0.6694122635862303
Freeport-McMoRa,0.4,0.997356608390807,0.9907878502409746,0.9782846791233631,0.9382112791559384,0.8836118624543505,0.7963130463134053
General Electric ,0.4,0.9985554834638614,0.9961759039831244,0.9921449787219512,0.9751473418013947,0.9409316232104643,0.8804544622448904
General Mills Inc,0.4,0.9977594398930155,0.9936482998908566,0.985820609895555,0.9607762872760442,0.9284503843450884,0.86895154984891
Halliburton Co,0.4,0.9969177875431937,0.9909338424506084,0.9823045268150755,0.9508923326547423,0.9086166238085928,0.8387132426902351
Kraft Heinz Food,0.4,0.9976330317982106,0.9922092674738372,0.9839505258952145,0.9569091657863441,0.9102154567776283,0.8363988324430632
HP Inc,0.4,0.9972885577532924,0.9907367249215906,0.9783153869144526,0.9392776556460846,0.8930430332785534,0.8017074628450065
Home Depot Inc/,0.4,0.9982748838280734,0.9949554378885853,0.9903177528124065,0.9754288576680483,0.9517408552324436,0.9039486130316013
International Bu,0.4,0.9979123016301411,0.9938476545063304,0.9863223265207147,0.9627057291694999,0.932079465846229,0.8786281069443412
International Pa,0.4,0.9974526309889731,0.9914662000445038,0.9812577164258006,0.945116854304492,0.9011669962132798,0.8416037820819526
Johnson & Johns,0.4,0.9983062625573677,0.9958461552784726,0.9926239774064489,0.9815658447913986,0.9591311408322466,0.9100908290157934
Kroger Co/The,0.4,0.9979887697382562,0.9941596123059145,0.9883701103074233,0.9668831713202987,0.9338545437523004,0.87950935300657
Lennar Corp,0.4,0.9952863669501673,0.9865284266583729,0.9721887182683824,0.9331754646284197,0.8699310839919195,0.7816137257811067
Lincoln National ,0.4,0.9936159066328055,0.9817320466100993,0.9638286777596052,0.9065660514789083,0.8365215357022362,0.7328162347750221
Lowe's Cos Inc,0.4,0.9980043953997608,0.9942726197021867,0.9875222113409104,0.9687798548695136,0.9392872796805002,0.8820288730987016
McDonald's Corp,0.4,0.9983309354524121,0.9953743028081707,0.9909564300929828,0.9778091430935485,0.9581156287530017,0.918234977008216
Sekisui House US,0.4,0.9960003134350249,0.9889344440869711,0.9775374674564439,0.9459495916831278,0.8906501026030437,0.7866894693265638
CVS Health Corp,0.4,0.9975894454627061,0.9922497755586173,0.9836251436990003,0.9572943030007366,0.9140125510587698,0.841855218714336
Motorola Solution,0.4,0.9978660860131647,0.9940698963051146,0.9871846677814096,0.965516937195936,0.9349985570972356,0.8738804757022945
Newmont Corp,0.4,0.9981124675932295,0.9943598948473822,0.9885857510414893,0.9678213674502479,0.9359364568350349,0.8719678424607424
Norfolk Southern,0.4,0.9985393347624975,0.9959616495065647,0.9919715870552102,0.9808497376880083,0.9596333906920266,0.9166877739771929
Northrop Grumm,0.4,0.9986052132435359,0.9954572650522672,0.9912276933028994,0.9787276264151468,0.9559704437864679,0.913687328175627
Occidental Petro,0.4,0.9937506044877819,0.9830427565976221,0.9675070825418804,0.9258052035358292,0.869242550863678,0.777699099571292
Omnicom Group ,0.4,0.9976822751020367,0.9931618891537559,0.9850465226965491,0.9593909113373437,0.9278729857787374,0.8663482405765794
