Tenor,Detachment,Correlation
5.0,0.005,0.0435247671788284
5.0,0.01,0.08789412495820871
5.0,0.015,0.13292169912728663
5.0,0.02,0.1780079003958148
5.0,0.025,0.22255313947354574
5.0,0.03,0.2659578270702319
5.0,0.035,0.307622373895626
5.0,0.04,0.3469471906594804
5.0,0.045,0.3833326880715477
5.0,0.05,0.41617927684158057
5.0,0.055,0.44488736767933135
5.0,0.06,0.4688573712945528
5.0,0.065,0.4874896983969973
5.0,0.07,0.5001847596964174
5.0,0.075,0.5083998025922873
5.0,0.08,0.5145581495964927
5.0,0.085,0.5195093240874037
5.0,0.09,0.5241028494433903
5.0,0.095,0.5291882490428226
5.0,0.1,0.5356150462640706
5.0,0.105,0.5433264308929171
5.0,0.11,0.5516897360935571
5.0,0.115,0.5606907003119795
5.0,0.12,0.5703150619941733
5.0,0.125,0.5805485595861269
5.0,0.13,0.5913769315338293
5.0,0.135,0.6027859162832695
5.0,0.14,0.6147612522804359
5.0,0.145,0.6272886779713174
5.0,0.15,0.640353931801903
7.0,0.005,0.13680724516656534
7.0,0.01,0.16457796524908178
7.0,0.015,0.19159582489282284
7.0,0.02,0.21781540244090275
7.0,0.025,0.24319127623643572
7.0,0.03,0.267678024622536
7.0,0.035,0.29123022594231784
7.0,0.04,0.3138024585388954
7.0,0.045,0.335349300755383
7.0,0.05,0.35582533093489477
7.0,0.055,0.37518512742054505
7.0,0.06,0.393383268555448
7.0,0.065,0.41037433268271795
7.0,0.07,0.426112898145469
7.0,0.075,0.4408025367121601
7.0,0.08,0.4546454619609657
7.0,0.085,0.46759421494957365
7.0,0.09,0.4796013367356714
7.0,0.095,0.4906193683769467
7.0,0.1,0.5006008509310872
7.0,0.105,0.5099368367230311
7.0,0.11,0.5190070481201183
7.0,0.115,0.5277470312436393
7.0,0.12,0.5360923322148838
7.0,0.125,0.543978497155142
7.0,0.13,0.5513410721857045
7.0,0.135,0.5581156034278612
7.0,0.14,0.5642376370029022
7.0,0.145,0.5696427190321177
7.0,0.15,0.5742663956367982
