Company,Recovery,S_1Y,S_2Y,S_3Y,S_5Y,S_7Y,S_10Y
Advanced Micro D,0.4,0.996606580482601,0.9913615299622984,0.9834882779729816,0.9632952628244194,0.927875538960248,0.8819519697397142
Ally Financial Inc,0.4,0.9885212611103432,0.9687241044411335,0.9426054659759094,0.8712804147702788,0.7729265575845705,0.6505665755086159
Altria Group Inc,0.4,0.9973140948531724,0.9932050958802532,0.9853148114942974,0.9643691739420864,0.9236837115170352,0.8664065477563998
Amazon.com Inc,0.4,0.9963500091650958,0.9906360448400592,0.9831738235626096,0.9657055533929982,0.9330122988672956,0.8837511539833578
American Electri,0.4,0.9977550497028878,0.9940414212315936,0.9881381228636804,0.9709488204242812,0.9396916271747936,0.8877143483612936
American Expres,0.4,0.997839496209131,0.9933282808123138,0.9876642555864285,0.9734741415440216,0.944329426149397,0.9000574191912154
American Interna,0.4,0.9955196724809422,0.9886844074075258,0.9783385940370392,0.9486713983994982,0.892840293832093,0.818251797473902
Amgen Inc,0.4,0.9977249267028692,0.9932583336282732,0.986401530801268,0.9697465917285664,0.9351213405490694,0.876157703712521
APA Corp,0.4,0.9927282359942295,0.9810148958015464,0.964374417122346,0.911654271955582,0.8416482434600964,0.7427212191004293
Arrow Electronic,0.4,0.9958599341609516,0.9875094738621436,0.9740024662830404,0.9312681182118798,0.8762602056682618,0.7958419803063269
AT&T Inc,0.4,0.9941602525688518,0.9863427728539604,0.9762523994822764,0.9471347295946748,0.8985317380269843,0.8341777495461153
AutoZone Inc,0.4,0.9973912137046314,0.9923569738733996,0.9876208561158312,0.9689194872177144,0.9373904095572332,0.8814998090609011
Avnet Inc,0.4,0.9958667865886176,0.986425225840603,0.9708942733742172,0.9230296883012596,0.8575437840034095,0.7642290514382962
Barrick Mining C,0.4,0.997692642436739,0.99405267444956,0.9880739030183956,0.9681555304821726,0.931883821886676,0.8728064928219291
Baxter Internatio,0.4,0.9953203281812342,0.9864950567868144,0.9744084190279088,0.9289866177162448,0.8695691231394946,0.7932107366851409
