Tenor,Index_Loss,Avg_Constituent_Loss
1,0.0015180763421535515,0.002292590867115232
2,0.004628742421289322,0.006187460610317828
3,0.009329082085986772,0.011971710434376054
5,0.02576833703694863,0.02870101848675749
7,0.04937008797033158,0.056359163166889055
10,0.09002555128071045,0.09683277843504716
