Company,Recovery,S_1Y,S_2Y,S_3Y,S_5Y,S_7Y,S_10Y
Advanced Micro D,0.4,0.9977189987445044,0.9934674877558178,0.9870631421491823,0.9676141341440262,0.9388609350813691,0.8830072746290049
Ally Financial Inc,0.4,0.9927911151959672,0.9771755135813454,0.9561887617372533,0.8898740097660742,0.8112677988206256,0.6915647193885319
Altria Group Inc,0.4,0.9982635927772372,0.9949375745028133,0.9888733381674455,0.9687640911059288,0.935293444721505,0.8798685217625339
Amazon.com Inc,0.25,0.9980720068836769,0.994562900026866,0.989891867823655,0.9757122849980889,0.9543448685013745,0.9158982470051368
American Electri,0.4,0.9985744814879634,0.9955635118500974,0.9905295053647158,0.9748480987406186,0.9492731281415876,0.8996150471419827
American Expres,0.4,0.9984438895125844,0.9955095961148053,0.9910822791516377,0.9775928565440567,0.9484932296399881,0.8990296194555882
American Interna,0.4,0.9970623456566294,0.9916325422078377,0.9829216577435805,0.9549681236802591,0.9095533715818909,0.8367297950985119
Amgen Inc,0.4,0.9985398466497537,0.9949122403587317,0.989190995425033,0.9738451709871176,0.9446950983476566,0.8870859179600847
APA Corp,0.4,0.9954294449341122,0.9863866544839297,0.9716938241687259,0.9216246486320905,0.8648539013624942,0.7677752546767022
Arrow Electronic,0.4,0.9970367033457428,0.9906288688465231,0.9796121839217661,0.9408455894720967,0.8936563424371793,0.8133479793506865
AT&T Inc,0.4,0.9961672914369959,0.9896520734023314,0.9813551728732667,0.9533882523354849,0.9148168096807936,0.8510996344887661
AutoZone Inc,0.4,0.9981662572172344,0.9949539166230528,0.9897634229780279,0.9730865926107289,0.9480918017864179,0.8959328429544084
Avnet Inc,0.4,0.9972382720622625,0.9899781451459928,0.9775574927507967,0.9341713656830327,0.8769565008549737,0.7835303581528184
Barrick Mining C,0.4,0.9985824052591334,0.9953935341849086,0.9904176439908507,0.9725590966444998,0.9383355372558945,0.8731212318934124
Baxter Internatio,0.4,0.996964340709198,0.9902166923036921,0.979968004137076,0.9363091963515182,0.88841474277093,0.8130384343740081
Best Buy Co Inc,0.4,0.9973308383042976,0.991424749196889,0.9835216898008837,0.9520058879776333,0.9096250815539563,0.8247307418373693
Block Financial L,0.4,0.9964822671380477,0.989825583170795,0.9795695570333017,0.9476326973644097,0.8949876734699996,0.8063054687023777
BorgWarner Inc,0.4,0.9975314519096109,0.9925340231721476,0.9854366132443505,0.9592689340272813,0.92001815059777,0.851160567766037
Boston Scientific,0.4,0.9983999065399196,0.9956596641023487,0.99180793482441,0.9754508954100521,0.9484071735322293,0.9016206896775905
Bristol-Myers Sq,0.4,0.9983209927554137,0.9952656026570426,0.9904938958347165,0.9724640933178518,0.9454322010667947,0.8937096298237845
Broadcom Inc,0.4,0.9982180975200463,0.9947702494737592,0.9893970932086666,0.9711240685885335,0.9396235700673988,0.8882878641850892
Canadian Natura,0.4,0.997066063017058,0.9911343798197909,0.9816649334863661,0.9506303062667092,0.9009128938462931,0.8092319004071917
Capital One Finan,0.4,0.9957942572146039,0.9875607177935516,0.9772111208241746,0.9432053703758746,0.8988398583467098,0.8162024742778855
Cardinal Health I,0.4,0.9983532138562843,0.9949526448713255,0.9897314925507391,0.9731435141313024,0.9404832002900694,0.8829115381087441
Caterpillar Inc,0.4,0.9985841256834068,0.9961762005268241,0.99187581795306,0.9798641260391497,0.9534801531430167,0.9051295354612658
Cisco Systems In,0.4,0.9985917834069679,0.995607645909632,0.9905575454111818,0.9751069088942561,0.9531250129594303,0.911219477517721
Comcast Corp,0.4,0.997155083703268,0.9921939952605606,0.9838270781267281,0.9575841084388583,0.9222918157001339,0.8500720921280718
Conagra Brands ,0.4,0.9969689518226967,0.9909657849038261,0.9797272314080635,0.9390048968227442,0.8854691899056999,0.7992443171661016
ConocoPhillips,0.4,0.998366636708114,0.9950985960967723,0.9891040644068129,0.9683243487241795,0.9338063753835076,0.8787633333787901
Cox Communicat,0.4,0.9976523647436025,0.9929462485611135,0.9841716289262694,0.9537017653015775,0.918461546687953,0.8473021981221833
CSX Corp,0.4,0.9987821226111414,0.9967132154721041,0.9936594768539183,0.9830435256543496,0.9631567072737238,0.9227282070465732
CVS Health Corp,0.4,0.997916020604313,0.9931837176847103,0.9855584210080173,0.9613383510127022,0.9181032221899188,0.8445334929024304
DR Horton Inc,0.4,0.9971336843416404,0.9916446920590958,0.9834020743225458,0.9586273655860725,0.9224800845145055,0.8591169329706985
Danaher Corp,0.4,0.9988023531884064,0.9965267340086504,0.9922145962476578,0.9780753144260074,0.9493748471336693,0.8981281573332258
Darden Restaura,0.4,0.9975916616695754,0.9931413510755448,0.9862451160801007,0.9621462979197215,0.9220562879563151,0.8482310510545197
Deere & Co,0.4,0.9984812930448619,0.9951636671023575,0.9906923646330131,0.9738641805340598,0.9475818424096772,0.8925388970472479
Dell Inc,0.4,0.9975961097235585,0.992138649124137,0.9819506372736326,0.9454019165722352,0.8970614865740129,0.8191429057377141
Delta Air Lines I,0.4,0.994798690621884,0.9857226334488294,0.9708015945311533,0.9212088804965006,0.8556252921841189,0.7580128130544355
Devon Energy Co,0.4,0.9960597321327334,0.9873638372405582,0.9739997847106633,0.9296623995530902,0.8730809389921855,0.7706620405123009
Dominion Energy,0.4,0.998203320600769,0.9939810502543636,0.9882341697034271,0.9689387228243046,0.9390074230626202,0.8889518776792016
DXC Technology ,0.4,0.9955574817690183,0.9830169183125859,0.9668304364278463,0.8805229659354082,0.7954590275438246,0.6763263000204331
Eastman Chemica,0.4,0.9968318327063868,0.9889984798769287,0.9754941453360405,0.9285293698076602,0.8740232498315837,0.7870392254892512
Enbridge Inc,0.4,0.9967857953229179,0.9901543953661496,0.9822316162615423,0.9539750595736106,0.909162283061222,0.8337624755898572
Energy Transfer ,0.4,0.9973181217257084,0.9909824846141919,0.9827192134292181,0.9542167283685791,0.9092725492976571,0.8259244171508678
Exelon Corp,0.4,0.9984413859976699,0.995371947935954,0.9904317023806355,0.974777065239943,0.9490446530242219,0.897356872338933
Expedia Group In,0.4,0.9980774661989679,0.9935706441458981,0.9855164737141258,0.953755202354511,0.9133177508404802,0.8570547229223257
FedEx Corp,0.4,0.9976571268782474,0.9929115957186969,0.9848151687008919,0.9597576284476034,0.9206061347070756,0.8523151133867247
FirstEnergy Corp,0.4,0.9978566626880754,0.9928440380472487,0.9859108019973728,0.9646812415511719,0.9301682791110489,0.8728037894846422
Ford Motor Co,0.4,0.9909169817617586,0.9741329855238672,0.9516004407058452,0.8814870696929048,0.7997322560816288,0.6875470703207747
Freeport-McMoRa,0.4,0.9977700467035749,0.9916777094643611,0.9807090500170634,0.9429218556080158,0.891125555014998,0.8044376877895353
General Electric ,0.4,0.998720624658871,0.9964217481719874,0.9931368217023395,0.9762630412363765,0.9471234489893268,0.8866591622646258
General Mills Inc,0.4,0.9978684899833774,0.993867451271765,0.9868365570739128,0.9634144963241051,0.9325985511637876,0.8729625112718328
General Motors C,0.4,0.9957223150526218,0.9863637911917084,0.9725299052280266,0.922286519042288,0.8492398743497069,0.7582842483109699
Halliburton Co,0.4,0.9972444721520514,0.9917888275048563,0.9841215140501952,0.9548030039680084,0.9123717582978944,0.8398481995600526
HCA Inc,0.4,0.9976612542667638,0.9919646001462923,0.9833174919248076,0.9568596299382328,0.9155797553315821,0.8426759187093495
Honeywell Intern,0.4,0.9986977969814032,0.9963652706119879,0.9928152211184893,0.9803280327954639,0.9579230201218254,0.9152939959636085
Host Hotels & Re,0.4,0.9963667380907769,0.9891102650091634,0.9781304514475629,0.9390191939217678,0.8801214962947557,0.7868842321901147
HP Inc,0.4,0.9974883697848916,0.9912399790102008,0.9799652071946336,0.9421139136875719,0.8961004880644475,0.8036652697666786
Intel Corp,0.4,0.9965826294185224,0.9901507256837717,0.9815902832982835,0.9475230619483768,0.9109982519020988,0.8460538713564947
International Bu,0.4,0.9981576717072252,0.9943964860386311,0.9877027324857889,0.966543684306587,0.9356032838551606,0.883026457756845
International Pa,0.4,0.9976951112356632,0.9922337713777246,0.983140280606627,0.9504151374515621,0.9098735724257102,0.851724102701267
Johnson & Johns,0.4,0.9984557760330983,0.9961059782132003,0.9932333600983935,0.9819513443123825,0.9593133056243692,0.9104558207229367
Johnson Controls,0.4,0.9982668037736184,0.9951783821914196,0.9903622914088271,0.9716037766142231,0.9468219963333185,0.902245627174193
Kinder Morgan In,0.4,0.997497719089668,0.9921577809169267,0.9839425047793557,0.9551722007396447,0.9119425588744201,0.838190900975753
Kraft Heinz Food,0.4,0.9979070096175063,0.9929091903366858,0.985574086454454,0.9596763069643285,0.9177382374057513,0.8381454487168349
Lennar Corp,0.4,0.9963801866858636,0.9890279510055378,0.9777466670452377,0.940955698625882,0.8844056678572867,0.803249368860608
Lincoln National ,0.4,0.9946805648022463,0.9840620196538564,0.9683382960948043,0.9123638887359853,0.8488437776954699,0.7482354590406602
Lockheed Martin ,0.4,0.99879527019202,0.9966452378015676,0.9930570288200837,0.9805727048782547,0.9601468812653822,0.9206245352100598
Lowe's Cos Inc,0.4,0.9983638161114794,0.9950828735220505,0.9894265721559601,0.9717280669968675,0.9435246203401138,0.8861925501172518
Sekisui House US,0.4,0.9962466194050744,0.9893904164265416,0.9789419067786475,0.9510233650132696,0.9133968560949565,0.831175973239295
Marathon Petrole,0.4,0.9972599123625032,0.9917197206328191,0.9831522967048739,0.9541436382798,0.9048396141155165,0.82234263944227
McDonald's Corp,0.4,0.9985935790462183,0.9959618567971973,0.9922762269303947,0.9796440159835097,0.9582968024207755,0.9169189456318401
McKesson Corp,0.4,0.9984300379105101,0.9953157697658879,0.9901691064662104,0.9735512676431592,0.9390184940960294,0.8777298299260474
MetLife Inc,0.4,0.9969892702802761,0.9908484528044662,0.9811250886794526,0.9502412941898853,0.9063921128948463,0.8353985818953221
Mondelez Interna,0.4,0.9978339128677702,0.9930834142872238,0.9872571108226844,0.9666935470776251,0.9342314112749178,0.8793702510406363
Motorola Solution,0.4,0.9980429603469007,0.9945859548211966,0.9881742474423334,0.968061972056869,0.9382099751407693,0.8769050371530422
National Rural U,0.4,0.9989304476230191,0.9968405948472262,0.9932398692208428,0.9823480966223634,0.9563183403052615,0.9144865447630188
Netflix Inc,0.4,0.9982414619741137,0.9949569418777259,0.9897678589274344,0.973073224781032,0.9447736667750842,0.9033840006941616
Newmont Corp,0.4,0.998354728853168,0.994979147949934,0.9899609191398185,0.9712664261618565,0.9386141109269179,0.8728301894146466
NextEra Energy C,0.4,0.9970317274847644,0.9913766175774887,0.9827395045625292,0.9529582422775735,0.9036212808941658,0.8272409045954887
Norfolk Southern,0.4,0.9987170000963521,0.9964202012028536,0.9933538102919135,0.9820399064903561,0.9644163967286905,0.9239580206886686
Northrop Grumm,0.4,0.9986270100688744,0.9960897999412658,0.9919329500759269,0.9802272810738797,0.9578191903921026,0.9165066435521588
Occidental Petro,0.4,0.9943856664609442,0.9843897917179645,0.9703883890671824,0.9310635001718519,0.8786069353463336,0.7890928921825324
Omnicom Group ,0.4,0.9979368682525188,0.9937342561222663,0.986480904980529,0.9618907213081095,0.9323748996350487,0.87237636895807
Oracle Corp,0.4,0.9945443871725442,0.9838045764666189,0.9676244044603679,0.9103244390456523,0.8489103927016979,0.7349862624959013
Ovintiv Inc,0.4,0.9947160802922859,0.984663078419674,0.9710882858507702,0.9229843000562523,0.8571728660061997,0.7560856906480231
Packaging Corp o,0.4,0.9984129343652808,0.9952569884810859,0.989934309950098,0.9716669663005733,0.9492234223823153,0.8999090273941052
Paramount Globa,0.4,0.9968281122529374,0.9878867407704233,0.9696044302743551,0.8979802018417311,0.8210003096417232,0.7175751962011794
Pfizer Inc,0.4,0.9984946691105884,0.9951447492418415,0.9901144944971355,0.9728070140666223,0.9442501915977694,0.880912627670419
Prudential Finan,0.4,0.9969996548851827,0.9907849077943057,0.9816178887362169,0.9500263365358869,0.9062718250997884,0.8312968412156092
PulteGroup Inc,0.4,0.9966096512719268,0.9896953185231233,0.9789733995034666,0.9459595521735666,0.8946408641495259,0.8080211218189213
Quest Diagnostic,0.4,0.9984451413011809,0.9956507352379331,0.9908744354108848,0.97546097277177,0.9507602058337842,0.9019938610310646
Radian Group Inc,0.4,0.9957865948885032,0.9869736404268047,0.972830475236849,0.9274557486091388,0.8784362090749722,0.7912548076524527
Royal Caribbean ,0.4,0.9956782587438366,0.9869016442399132,0.9761650649950124,0.9382120242311445,0.8810570916638767,0.7962542868060427
RTX Corp,0.4,0.9982976497020349,0.9946866707642963,0.9887860809163073,0.9711653348040916,0.9435606542348919,0.8954550274379575
Ryder System In,0.4,0.9979385258441997,0.9925585366780408,0.9838811531158485,0.9515698244596689,0.9056426312085557,0.8211021641930164
Sempra,0.4,0.998351190645023,0.9950539086818063,0.9898825567778229,0.9740293849960924,0.9440423090258495,0.8892863946619476
Southwest Airline,0.4,0.9952551700992549,0.984028999164482,0.9693971396155663,0.9175373760953376,0.8512416283880431,0.7511493250010307
T-Mobile USA Inc,0.4,0.997239258150733,0.9924735906471595,0.9859433843083636,0.9617815773572082,0.9277346104572028,0.8645619967718895
Target Corp,0.4,0.9978895726740572,0.9927440128747367,0.9856987965566103,0.9620648655880912,0.931425635751095,0.879346994777981
Teck Resources ,0.4,0.9979078338958601,0.9935026610765357,0.9868471663851304,0.9634843271277855,0.9208934602771902,0.8486539948818487
AES Corp/The,0.4,0.9958751136714321,0.985907499477064,0.9705028342545764,0.9197217340787913,0.8528014683136297,0.7593810927658596
Allstate Corp/Th,0.4,0.9986245153930557,0.9959671908889429,0.9918365951380091,0.9772769933190769,0.9573313092168145,0.9203844219188921
