Tenor,Bid,Ask,0-3,0-3 upfront,3-7,7-10,10-15,15-100,0-100
1Y,15.99,16.490000000000002,524.43,5.6922,53.94,22.62,6.21,5.78,22.39
2Y,23.48,23.99,611.2,11.106963,91.94,41.63,15.33,9.3,30.02
3Y,31.752,32.6138,698.04,17.455602,134.1,64.53999999999999,27.45,13.73,38.59
5Y,52.5312,52.5312,821.54,29.3014,96.08,114.1,56.94,22.72,51.97
7Y,70.0831,73.3142,962.44,43.25299,313.75,178.64,99.0,39.5,77.99
10Y,91.4978,92.0287,"1,011.68",-51.426298,378.47,229.02,136.87,55.11,95.55
