,Company,Notional Recovery Rate,Recovery rate,Running Spread,Sprd at Maturity,6 Mo,1 Yr,2 Yr,3 Yr,4 Yr,5 Yr,7 Yr,10 Yr
103,Allstate Corp/Th,2000000,0.4,100,29.63,10.45,12.73,16.26,20.45,25.43,29.63,43.68,54.99
104,Boeing Co/The,2000000,0.4,100,67.37,28.75,33.84,40.88,50.29,57.7,67.37,88.6,97.92
105,Campbell's Comp,2000000,0.4,100,51.6,14.21,19.62,24.85,33.78,42.35,51.6,75.99,94.79
106,Dow Chemical Co,2000000,0.4,100,97.88,22.97,30.37,44.35,61.63,79.56,97.88,129.82,152.61
107,Home Depot Inc/,2000000,0.4,100,32.34,12.24,15.11,19.38,22.85,26.66,32.34,46.29,62.03
108,Kroger Co/The,2000000,0.4,100,38.09,11.24,14.6,19.02,25.08,31.57,38.09,57.53,72.66
109,PNC Financial Se,2000000,0.4,100,54.21,30.51,32.52,37.39,42.63,50.18,54.21,68.68,79.9
110,Procter & Gambl,2000000,0.4,100,24.73,11.45,14.56,17.01,20.13,22.08,24.73,35.49,47.12
111,Sherwin-Williams,2000000,0.4,100,50.33,16.63,20.45,26.18,33.85,42.52,50.33,75.16,93.34
112,Southern Co/The,2000000,0.4,100,39.11,12.03,17,24.89,30.56,35.31,39.11,60.94,77.41
113,Walt Disney Co/T,2000000,0.4,100,35.04,16.23,18.1,21.75,26.65,30.83,35.04,48.69,60.53
114,Williams Cos Inc,2000000,0.4,100,54.18,16.62,19.01,26.46,35.95,45.27,54.18,80.99,104.35
115,Toll Brothers Inc,2000000,0.4,100,87.07,27.54,34.27,46.39,57.24,74.19,87.07,125.63,151.71
116,TransCanada Pip,2000000,0.4,100,57.07,16.81,20.6,27.79,37.85,47.1,57.07,80.78,102.85
117,Tyson Foods Inc,2000000,0.4,100,44.12,14.49,17.38,23.11,32.22,37.81,44.12,64.91,84.31
118,Union Pacific Cor,2000000,0.4,100,27.29,9.84,11.51,14.62,18.89,23.64,27.29,39.9,53.45
119,United Parcel Se,2000000,0.4,100,37.13,11.58,15.76,19.57,24.84,31.13,37.13,51.31,63.75
120,UnitedHealth Gro,2000000,0.4,100,43.99,16.17,19.5,24.87,33.47,38.62,43.99,61.11,75.93
121,Valero Energy Co,2000000,0.4,100,56.27,18.16,22.1,29.04,38.36,47.81,56.27,89.26,113.03
122,Verizon Commun,2000000,0.4,100,59.79,26.05,32.2,37.27,45.62,53.54,59.79,79.31,102.64
123,Walmart Inc,2000000,0.4,100,26.9,10.04,13.06,18.03,21.24,24.79,26.9,40.62,52.36
124,Weyerhaeuser Co,2000000,0.4,100,32.45,11.01,12.61,16.44,22.58,26.52,32.45,45.8,61.74
125,Simon Property ,2000000,0.4,100,55.26,19.93,23.03,30.4,38.61,47.64,55.26,86.95,104.15
