Tenor,Detachment,Correlation
5.0,0.005,0.14338412340928414
5.0,0.01,0.16688368001335627
5.0,0.015,0.1901325977263515
5.0,0.02,0.21295473791331093
5.0,0.025,0.23517396193927562
5.0,0.03,0.2566141311692866
5.0,0.035,0.2770991069683851
5.0,0.04,0.2964527507016119
5.0,0.045,0.3144989237340084
5.0,0.05,0.3310614874306155
5.0,0.055,0.3459643031564743
5.0,0.06,0.3590312322766258
5.0,0.065,0.3700861361561113
5.0,0.07,0.3789528761599716
5.0,0.075,0.38580593275865693
5.0,0.08,0.3913064727483334
5.0,0.085,0.3960083869826165
5.0,0.09,0.4004655663151212
5.0,0.095,0.4052319015994628
5.0,0.1,0.4108612836892566
5.0,0.105,0.4172715186249913
5.0,0.11,0.42401001679216194
5.0,0.115,0.43107507556189323
5.0,0.12,0.4384649923053102
5.0,0.125,0.44617806439353763
5.0,0.13,0.45421258919770036
5.0,0.135,0.46256686408892317
5.0,0.14,0.471239186438331
5.0,0.145,0.48022785361704856
5.0,0.15,0.48953116299620086
7.0,0.005,0.13297081656979645
7.0,0.01,0.15526395031562795
7.0,0.015,0.176999454680336
7.0,0.02,0.19810819995209694
7.0,0.025,0.2185210564190871
7.0,0.03,0.2381688943694828
7.0,0.035,0.2569825840914604
7.0,0.04,0.27489299587319616
7.0,0.045,0.2918310000028664
7.0,0.05,0.30772746676864754
7.0,0.055,0.322513266458716
7.0,0.06,0.3361192693612478
7.0,0.065,0.3484763457644195
7.0,0.07,0.3595153659564074
7.0,0.075,0.36957250286762067
7.0,0.08,0.3789607856150699
7.0,0.085,0.38757636876683316
7.0,0.09,0.39531540689098854
7.0,0.095,0.4020740545556142
7.0,0.1,0.4077484663287882
7.0,0.105,0.4128057687303428
7.0,0.11,0.4177318715832531
7.0,0.115,0.42245110441031153
7.0,0.12,0.4268877967343104
7.0,0.125,0.43096627807804216
7.0,0.13,0.4346108779642991
7.0,0.135,0.4377459259158737
7.0,0.14,0.4402957514555583
7.0,0.145,0.4421846841061453
7.0,0.15,0.4433370533904271
10.0,0.005,0.052748720155507606
10.0,0.01,0.09624601719241416
10.0,0.015,0.13888115165671736
10.0,0.02,0.18043864921076636
10.0,0.025,0.22070303551691056
10.0,0.03,0.2594588362374991
10.0,0.035,0.2964905770348813
10.0,0.04,0.3315827835714064
10.0,0.045,0.36451998150942366
10.0,0.05,0.39508669651128236
10.0,0.055,0.4230674542393317
10.0,0.06,0.44824678035592086
10.0,0.065,0.4704092005233993
10.0,0.07,0.4893392404041162
10.0,0.075,0.5054972544756924
10.0,0.08,0.5197414446119658
10.0,0.085,0.5324531075696114
10.0,0.09,0.5440135401053038
10.0,0.095,0.5548040389757178
10.0,0.1,0.5652059009375285
10.0,0.105,0.5754250430208244
10.0,0.11,0.5853829638770285
10.0,0.115,0.5950343326948173
10.0,0.12,0.6043338186628675
10.0,0.125,0.6132360909698552
10.0,0.13,0.6216958188044569
10.0,0.135,0.6296676713553491
10.0,0.14,0.6371063178112084
10.0,0.145,0.6439664273607111
10.0,0.15,0.6502026691925334
