Tenor,Bid,Ask,Last,0-3,0-3 upfront,3-7,3-7 upfront,4-6,7-10,10-15,15-100,0-100
1Y,15.95,16.45,15.2,506.78,5.09192,52.06,0.492475,46.9,21.41,6.13,5.35,21.39
2Y,23.84,24.34,23.09,589.09,10.227929,90.15,0.784709,82.88,40.09,14.92,8.92,28.92
3Y,31.488,32.403,30.921,673.66,16.33401,131.3,1.875317,122.95,62.53,26.81,13.28,37.35
5Y,51.996,52.212,51.104,809.13,29.028306,213.24,6.081741,203.44,111.5,56.2,22.76,53.91
7Y,69.587,72.359,69.973,930.3,41.494622,305.32,13.075943,295.31,172.98,96.11,38.27,75.74
10Y,91.16,91.588,90.374,975.91,51.541067,366.54,20.969425,357.79,220.81,132.07,53.24,92.56
