Tenor,Detachment,Correlation
5.0,0.005,0.0352835457211538
5.0,0.01,0.08031724016567893
5.0,0.015,0.1260419718719735
5.0,0.02,0.17184404793603106
5.0,0.025,0.21710977545384508
5.0,0.03,0.2612254615214091
5.0,0.035,0.3035774132347166
5.0,0.04,0.343551937689761
5.0,0.045,0.38053534198253597
5.0,0.05,0.4139139332090349
5.0,0.055,0.4430740184652513
5.0,0.06,0.46740190484717875
5.0,0.065,0.48628389945081063
5.0,0.07,0.4991063093721405
5.0,0.075,0.5073773774343622
5.0,0.08,0.5135807714163599
5.0,0.085,0.5185659358476625
5.0,0.09,0.5231823152577987
5.0,0.095,0.5282793541762972
5.0,0.1,0.5347064971326874
5.0,0.105,0.5423982191850651
5.0,0.11,0.5507141701622814
5.0,0.115,0.5596415567499966
5.0,0.12,0.5691675856338716
5.0,0.125,0.5792794634995667
5.0,0.13,0.5899643970327425
5.0,0.135,0.6012095929190596
5.0,0.14,0.6130022578441785
5.0,0.145,0.6253295984937598
5.0,0.15,0.6381788215534641
7.0,0.005,0.1272267763194382
7.0,0.01,0.15598088194263662
7.0,0.015,0.18395719294361587
7.0,0.02,0.21110487150536075
7.0,0.025,0.23737307981085598
7.0,0.03,0.2627109800430863
7.0,0.035,0.2870677343850366
7.0,0.04,0.3103925050196913
7.0,0.045,0.3326344541300355
7.0,0.05,0.35374274389905386
7.0,0.055,0.37366653650973114
7.0,0.06,0.392354994145052
7.0,0.065,0.4097572789880014
7.0,0.07,0.4258225532215639
7.0,0.075,0.44073652218728476
7.0,0.08,0.45471708363619384
7.0,0.085,0.4677616883655031
7.0,0.09,0.4798677871724242
7.0,0.095,0.4910328308541691
7.0,0.1,0.5012542702079495
7.0,0.105,0.5108883941082913
7.0,0.11,0.5202532809161082
7.0,0.115,0.5292890656581936
7.0,0.12,0.5379358833613406
7.0,0.125,0.5461338690523431
7.0,0.13,0.5538231577579942
7.0,0.135,0.5609438845050877
7.0,0.14,0.5674361843204168
7.0,0.145,0.573240192230775
7.0,0.15,0.5782960432629558
