Tenor,Bid,Ask,Last,0-3,0-3 upfront,3-7,3-7 upfront,4-6,7-10,10-15,15-100,0-100
1Y,15.04,15.54,15.29,512.83,4.171442,52.44,-0.494372,47,20.49,5.49,4.12,21.43
2Y,22.96,23.46,23.21,601.23,9.475317,91.64,-0.166097,84.51,39.82,14.8,7.47,29.11
3Y,30.363,31.368,30.919,690.97,15.798633,135.39,1.022428,126.81,63.32,27.29,11.77,37.76
5Y,51.088,51.372,51.23,828.7,28.742048,221.24,5.481373,211.22,114.47,57.81,21.7,54.82
7Y,68.712,71.334,70.023,958.37,41.586086,318.28,12.856513,308.04,179.33,100.27,36.88,76.94
10Y,90.212,90.617,90.413,1004.53,51.649231,381.37,21.02854,372.46,228.96,137.69,51.92,93.82
