Unnamed: 0,Company,Notional,Recovery,Running,Sprd,6 Mo,1 Yr,2 Yr,3 Yr,4 Yr,5 Yr,7 Yr,10 Yr,Unnamed: 14,Unnamed: 15
80,NextEra Energy C,2000000,0.4,100,63.04,16.3,26.66,35.14,44.27,54.26,63.04,94.1,114.55, ,
81,Norfolk Southern,2000000,0.4,100,22.49,7.74,10.13,13.1,16.4,19.51,22.49,35.61,51.49, ,
82,Northrop Grumm,2000000,0.4,100,25.72,7.33,10.56,14.72,18.82,22.56,25.72,38.41,49.99, ,
83,Occidental Petro,2000000,0.4,100,93.55,43.29,48.22,60.74,73.89,82.54,93.55,123.23,146.58, ,
84,Omnicom Group ,2000000,0.4,100,51.37,15.37,19.02,25.2,34.37,41.79,51.37,66.69,83.1, ,
85,Oracle Corp,2000000,0.4,100,129.09,45.93,58.43,73.03,89.19,112.09,129.09,153.28,178.79, ,
86,Ovintiv Inc,2000000,0.4,100,102.8,40.82,46.79,60.63,72.37,88.58,102.8,145.08,172.21, ,
87,Packaging Corp o,2000000,0.4,100,36.94,12.38,13.5,18.01,24.64,30.96,36.94,49.24,64.67, ,
88,Paramount Globa,2000000,0.4,100,139.38,32.43,28.58,47.82,76.41,113.68,139.38,181.42,202.72, ,
89,Pfizer Inc,2000000,0.4,100,35.79,12.47,13.97,18.77,25.41,30.77,35.79,48.73,66.65, ,
90,Prudential Finan,2000000,0.4,100,66.76,20.75,26.4,36.17,46.57,56.68,66.76,90,108.25, ,
91,PulteGroup Inc,2000000,0.4,500,72.38,30.44,30.46,41.94,53.76,65.61,72.38,102.64,126.84, ,
92,Quest Diagnostic,2000000,0.4,100,30.76,6.85,11.72,15.79,20.99,26.51,30.76,45.35,60.02, ,
93,Radian Group Inc,2000000,0.4,500,93.22,22.02,33.23,49.71,65.15,79.46,93.22,125.02,148.14, ,
94,Royal Caribbean ,2000000,0.4,500,84.68,29.16,37.51,50.97,62.45,71.17,84.68,121.86,143.34, ,
95,RTX Corp,2000000,0.4,100,37.96,11.17,14.7,20.83,28.54,33.03,37.96,54.45,67.47, ,
96,Ryder System In,2000000,0.4,100,63.86,15.5,18.31,29.26,40.58,54.67,63.86,93.5,120.24, ,
97,Sempra,2000000,0.4,100,36.14,9,12.21,18.78,24.97,30.98,36.14,55.02,71.83, ,
98,Southwest Airline,2000000,0.4,100,110.61,34.61,42.38,63.68,78.59,95.47,110.61,147.13,169.09, ,
99,T-Mobile USA Inc,2000000,0.4,500,49.32,19.15,22.19,26.68,34.5,42.69,49.32,68.38,87.29, ,
100,Target Corp,2000000,0.4,100,48.75,13.37,18.91,28.94,36.2,41.93,48.75,64.79,78.37, ,
